นิติบุคคลจัดตั้งเดือนมิถุนายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
902,0105559088951,บจ.บี.ไอ.ดับเบิ้ลยู.เดคคอร์เรท จำกัด,10/6/2559," 1,000,000 ",41002,การรับเหมากาอสร้างอาคารพาณิชย์ ที่พักอาศัย สถานที่ราชการ และงานก่อสร้างอย่างอื่น,17 ซอยเพชรเกษม 92/3  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,
903,0105559089345,บจ.วัฒนานรเศรษฐ์ จำกัด,10/6/2559," 1,000,000 ",46599,ประกอบกิจการค้าอะไหล่เครื่องจักร เครื่องยนต์และยานพาหนะทุกประเภท,79/204 ซอยเพชรเกษม 48 แยก 16 ถนนเพชรเกษม  แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
904,0105559089744,บจ.สัมมาอินเตอร์เทรด จำกัด,13/6/2559," 1,000,000 ",46109,นำเข้า ส่งออก จำหน่ายสินค้าอุปโภคบริโภค เช่น เครื่องสำอาง ผลิตภัณฑ์ทำความสะอาดผิว เครื่องดื่ม,79/119 ซอยเพชรเกษม 81/6  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
905,0105559089850,บจ.รักษาความปลอดภัย เจ แอล เจ  จำกัด,13/6/2559," 1,000,000 ",80100,บริการรักษาความปลอดภัย เปิดโรงเรียนฝึกอบรมพนักงานรักษาความปลอดภัย,1283 ถนนเพชรเกษม  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
906,0105559089868,บจ.หลานเซี้ยง เซลแอนด์เซอร์วิส จำกัด,13/6/2559," 1,000,000 ",70209,ให้คำปรึกษา วางระบบ วางแผนงานด้านอุตสาหกรรม,345/1 ซอยเพชรเกษม 112  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
907,0105559090220,บจ.นิวสเต็ป ซัพพลาย จำกัด,13/6/2559," 1,000,000 ",46900,ประกอบกิจการขายส่งสินค้าทั่วไป,29/142 ซอยกาญจนาภิเษก 005/1  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
908,0105559090408,บจ.ประติมากรรมและหล่อโลหะ จำกัด,14/6/2559," 1,000,000 ",24320,ประกอบกิจการโรงงานประติมากรรมและหล่อโลหะ,25 ซอยเพชรเกษม 79 แยก 17-2-2  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
909,0105559090548,บจ.เอ็มพี ออพติมินส์ จำกัด,14/6/2559," 1,000,000 ",46319,ประกอบกิจการจำหน่ายผลิตภัณฑ์อาหารบำรุงสุขภาพ ผลิตภัณฑ์อาหารเสริม ผลิตภัณฑ์เสริมความงาม,50/172 หมู่บ้านศศิธร ถนนบางบอน 3  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
910,0105559091421,บจ.พอล ไทเกอร์ จำกัด,15/6/2559," 1,000,000 ",46421,นำเข้าประเภทเครื่องใช้ไฟฟ้าทุกชนิดเพื่อจำหน่าย,56 ซอยเพชรเกษม 112 แยก 15 ถนนเพชรเกษม  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
911,0105559092125,บจ.ออลไมตี้ เบลสซิ่ง จำกัด,16/6/2559," 1,000,000 ",46493,ประกอบกิจการขายเครื่องหนัง,607 ศูนย์สรรพสินค้าซีคอนบางแค ชั้น 2 บูทเลขที่ เอส080 ถนนเพชรเกษม  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
912,0105559092354,บจ.แอเรีย42 พร็อพเพอร์ตี้ จำกัด,16/6/2559," 1,000,000 ",68201,ประกอบกิจการเป็นนายหน้าซื้อขายอสังหาริมทรัพย์,109/2 ซอยพุทธมณฑลสาย 2 ซอย 7  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,
913,0105559092397,บจ.แชนเนล เรียลตี้ จำกัด,16/6/2559," 1,000,000 ",68201,ประกอบกิจการเป็นนายหน้าจัดหาอสังหาริมทรัพย์,855/12 ซอยบางแค 16  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,,
914,0105559092419,บจ.ร่มไทรเฟอร์นิเจอร์ จำกัด,16/6/2559," 1,000,000 ",46103,ประกอบกิจการนำเข้า-ส่งออก เฟอร์นิเจอร์ เครื่องตกแต่งภายใน-ภายนอกอาคาร,33/3 ซอยบางบอน 3 ซอย 12  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
915,0105559094063,บจ.บี แอนด์ เอ็ม ซูวะเนียร์ จำกัด,20/6/2559," 1,000,000 ",32909,ประกอบกิจการผลิตและจำหน่ายผลิตภัณฑ์ที่ทำจากเปลือกหอย,279/123 ซอยเพชรเกษม 68  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160,,
916,0105559094179,บจ.ฮัก ออร์แกนิค จำกัด,20/6/2559," 1,000,000 ",47723,ประกอบกิจการจำหน่ายสินค้าอุปโภค-บริโภค เพื่อสุขภาพ ผลิตภัณฑ์บำรุงผิว เครื่องสำอาง,708 ซอยกาญจนาภิเษก 008  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,,
917,0105559094322,บจ.ลาน่า พลัส จำกัด,20/6/2559," 1,000,000 ",10309,ประกอบกิจการการผลิตและจัดจำหน่ายผลไม้แปรรูป,61/60 หมู่บ้านชลกานต์ ถนนบางแวก  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,,
918,0105559094501,บจ.บิซ เรซิพี จำกัด,21/6/2559," 1,000,000 ",82301,ประกอบกิจการให้บริการจัดประชุม และ การสัมมนา,31 ซอยศาลธนบุรี 29  แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
919,0105559094527,บจ.มาสเตอร์ พี แอดไวเซอรี่ จำกัด,21/6/2559," 1,000,000 ",69100,งานด้านกฎหมาย-บัญชี,4 ซอยเพชรเกษม 48 แยก 16-1 ถนนเพชรเกษม  แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
920,0105559094543,บจ.ธนา เทรดดิ้ง กรุ๊ป จำกัด,21/6/2559," 1,000,000 ",46900,ประกอบกิจการประกอบกิจการนำเข้าสินค้าอุปโภค-บริโภค,23/22 ซอยกาญจนาภิเษก0010  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,,
921,0105559094560,บจ.ทีเอส เน็คเวิร์ค โซลูชั่น จำกัด,21/6/2559," 1,000,000 ",43210,ประกอบกิจการรับวางระบบสายโทรศัพท์ สายไฟโรงงาน และซื้อ ขาย อุปกรณ์ดังกล่าว,40/331 ถนนทวีวัฒนา ซอย ม.สุชา  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
922,0105559095809,บจ.พี วาย ดิสทริบิวชั่น จำกัด,22/6/2559," 1,000,000 ",47599,ประกอบกิจการค้า อุปกรณ์เครื่องมือเครื่องใช้ ของใช้ในครัวเรือน ทุกชนิด,55 ซอยเพชรเกษม 56  แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
923,0105559096180,บจ.พีพีอาร์ โซลูชั่น จำกัด,23/6/2559," 1,000,000 ",46699,ประกอบกิจการค้ากระดาษ,24/117 ซอยเพชรเกษม 112  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
924,0105559096767,บจ.โกลเด้น ที เค เอเชีย จำกัด,23/6/2559," 1,000,000 ",23942,ประกอบกิจการผลิตปูนฉาบ อุปกรณ์วัสดุก่อสร้าง,1875 อาคารพีพี ชั้น 7 ซี ถนนเพชรเกษม  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
925,0105559097127,บจ.แมส แอดเวอร์ไทซิ่ง โซลูชั่น จำกัด,24/6/2559," 1,000,000 ",73101,ประกอบกิจการให้บริการด้านการตลาดและสื่อโฆษณา,379/162 ถนนกาญจนาภิเษก  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160,,
926,0105559097968,บจ.ธอร์ จำกัด,27/6/2559," 1,000,000 ",46492,ประกอบกิจการจำหน่ายเครื่องประดับกาย เครื่องใช้ภายในครัวเรือน เครื่องจักรกลต่างๆ,81 ถนนบางแวก  แขวงคลองขวาง เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
927,0105559098131,บจ.พีเอ็นพี ซิสเทม เอ็นจิเนียริ่ง จำกัด,27/6/2559," 1,000,000 ",41002,ประกอบธุรกิจรับเหมาก่อสร้างและรับติดตั้งงานระบบไฟฟ้า ระบบสุขาภิบาล ระบบปรับอากาศ,119/52 ซอยบางแวก 85 ถนนบางแวก  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,,
928,0105559099413,บจ.เฟลวอนนีส จำกัด,28/6/2559," 1,000,000 ",62011,ประกอบกิจการให้บริการงานพัฒนาระบบทางด้านเทคโนโลยีสารสนเทศ,17 ซอยเพชรเกษม 26  แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160,,
929,0105559099553,บจ.เค เซอร์วิส แคดแคม จำกัด,29/6/2559," 1,000,000 ",47411,ประกอบกิจการนำเข้า จำหน่ายอุปกรณ์คอมพิวเตอร์และอุปกรณ์การ์เม้นท์ครบวงจร,12/46 หมู่บ้านพระปิ่น 4 ถนนมาเจริญ  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
930,0105559099642,บจ.เอสเอสเค สตีล จำกัด,29/6/2559," 1,000,000 ",46622,ประกอบกิจการค้าเหล็กแผ่น และเหล็กทุกชนิด,4 ถนนบางบอน 3 ซอย 9  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
931,0105559099871,บจ.ทูเดย์ คอมเมิร์ซ จำกัด,29/6/2559," 1,000,000 ",46103,ประกอบกิจการประเภทนำเข้าและส่งออกกระเป๋า,42/132 หมู่บ้านอรุณทอง ถนนเลียบคลองภาษีเจริญฝั่งเหนือ  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
932,0105559099880,บจ.เวท เอ็ม.ยู. จำกัด,29/6/2559," 1,000,000 ",96302,ประกอบกิจการรับเลี้ยงดูแลสัตว์ทุกประเภท,476 ถนนพุทธมณฑลสาย 2  แขวงบางไผ่ เขตบางแค กรุงเทพมหานคร 10160,,
933,0105559099961,บจ.ทวีชัยโภชนา 2515 จำกัด,29/6/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหาร จำหน่ายอาหารและเครื่องดื่มทุกประเภท,88/265 ถนนกัลปพฤกษ์  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160,,
934,0105559100349,บจ.เลิศวัฒนาหิรัญ จำกัด,29/6/2559," 1,000,000 ",47711,ประกอบกิจการซื้อมาขายไป และจ้างผลิตเสื้อผ้าสำเร็จรูป เครื่องนุ่งห่มทุกชนิด,5 ซอยเพชรเกษม 77/2  แขวงหนองค้างพลู เขตหนองแขม กรุงเทพมหานคร 10160,,
935,0105559100641,บจ.เคซีที โซลูชั่น แอนด์ เซอร์วิส จำกัด,30/6/2559," 1,000,000 ",47413,ประกอบกิจการค้า บริการ ติดตั้ง ซ่อมแซม ทางด้านโทรคมนาคม สื่อสารข้อมูล,60/30 ซอยเลียบฯฝั่งใต้ ม.วรารมย์  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
936,0105559100730,บจ.เอส.พี.อี.38 เอ็นจิเนียริ่ง จำกัด,30/6/2559," 1,000,000 ",47525,ประกอบกิจการจำหน่าย วัสดุก่อสร้าง เครื่องมือสำหรับสร้าง และซ่อมแซม อาคาร สำกนักงาน บ้านพักอาศัย,5/176 หมู่บ้านแลนซีโอ เพชรเกษม77 ซอย 10 ถนนสวัสดิการ  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160,,
937,0103559008564,หจ.สยามเดลิเวอรี่,7/6/2559," 1,000,000 ",46510,ประกอบกิจการซื้อมา ขายไป สินค้าเกี่ยวกับคอมพิวเตอร์ อุปกรณ์ ฮาร์ดแวร์ และ ซอฟแวร์,29/3 หมู่ที่ 4  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
938,0103559008734,หจ.ฟรุ๊ตวีดู,9/6/2559," 1,000,000 ",46900,ประกอบกิจการค้า จำหน่ายสินค้าเครื่องอุปโภคและบริโภคทุกชนิด,3 ซอยสวนผัก 29/1 ถนนสวนผัก  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
939,0103559008971,หจ.เคพีเอ็น เคมีคอล โปรดักส์,10/6/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้า,38/110 ซอยทวีวัฒนา-กาญจนาภิเษก 15 ถนนพุทธมณฑลสาย 2  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
940,0103559009510,หจ.ดีจิวเวลรี่,22/6/2559," 1,000,000 ",46103,นำเข้า ส่งออกและจำหน่าย จิวเวอรี่ อัญมณี สร้อย กำไร แหวน ต่างหู นาฬิกา และเครื่องประดับอื่นๆทุกชนิด,176 ซอยสวนผัก 48  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
941,0105559084513,บจ.คูณทรัพย์ฟู้ด จำกัด,2/6/2559," 1,000,000 ",47213,ประกอบกิจการซื้อมาขายไปเกี่ยวกับผักและผลไม้สดทุกชนิด,69/11 ซอยราชพฤพฤกษ์ 9  แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
942,0105559085099,บจ.เจพี เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด,3/6/2559," 1,000,000 ",46510,ประกอบกิจการค้า จำหน่าย ออกแบบ เครื่องคอมพิวเตอร์ โปรแกรม เครื่องมือสื่อสาร,8/19 ซอยบรมราชชนนี 101 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
943,0105559085480,บจ.เอพีเอส อลูมิเนียม เมทเทิล จำกัด,6/6/2559," 1,000,000 ",46622,ประกอบกิจการจำหน่าย รับติดตั้งอลูมิเนียมทุกชนิด,12/114 ถนนทวีวัฒนา  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
944,0105559086176,บจ.คลิ๊ก ดิจิตอล จำกัด,7/6/2559," 1,000,000 ",58202,ประกอบกิจการ ผลิต รับบริการผลิต ปรับปรุง เปลี่ยนแปลง ที่ปรึกษาแว็บไซค์ สื่อดิจิตอล,250/499 ซอยพุทธมณฑลสาย 2 ซอย 32 ถนนพุทธมณฑลสาย 2  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
945,0105559087385,บจ.เจด มีเดีย แอนด์ คอนซัลแตนท์ จำกัด,8/6/2559," 1,000,000 ",73101,ประกอบกิจการจ้างโฆษณาประชาสัมพันธ์,67/23 หมู่ที่ 12  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
946,0105559087563,บจ.ซีเอ็น พลาสแพค จำกัด,9/6/2559," 1,000,000 ",46693,ประกอบกิจการค้า เม็คพลาสติก หรือสิ่งอื่นมีลักษณะคล้ายคลึงกัน,99/92 ซอยบรมราชชนนี 62/3 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
947,0105559087792,บจ.ไทย ฟู้ด โปรดักท์ อินเตอร์เทรด จำกัด,9/6/2559," 1,000,000 ",46319,ขนม อาหารสด อาหารแห้ง อาหารแปรรูป เครื่องประดับ,146 ซอยบรมราชชนนี 75  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
948,0105559087806,บจ.ปับจัง จำกัด,9/6/2559," 1,000,000 ",70209,ประกอบกิจการรับเป็นที่ปรึกษาฝึกอบรม รับจัดการธุรกิจเกี่ยวกับการบริหารงานขายและการขยายตลาด,48/53 ถนนพุทธมณฑลสาย 2 ซอย 21  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
949,0105559088390,บจ.ท่ารถพาณิชย์ จำกัด,9/6/2559," 1,000,000 ",68104,ประกอบกิจการให้เช่าพื้นที่เพื่อการค้า,3 ซอยฉิมพลี 15  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
950,0105559088471,บจ.อาร์ซีที ไทร จำกัด,9/6/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,99/11 ซอยพุทธมณฑลสาย 2 ซอย 24  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
951,0105559088624,บจ.ไพเวอร์ตี้ จำกัด,9/6/2559," 1,000,000 ",46317,ประกอบกิจการค้าน้ำตาลทราย,1 ซอยบางระมาด 9  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
952,0105559088993,บจ.ธนกรเรืองชาญ จำกัด,10/6/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,7 ซอยบางพรม 48 ถนนวัดแก้ว-พุทธมณฑลสาย 1  แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
953,0105559090025,บจ.จีนี่ ซิสเต็ม จำกัด,13/6/2559," 1,000,000 ",58202,ให้บริการออกแบบและจัดทำซอฟต์แวร์สำเร็จรูปรวมไปจนถึงการจัดจำหน่าย,72 ซอยสวนผัก 2 ถนนสวนผัก  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
954,0105559090319,บจ.ตั้งกิจทวีทรัพย์ จำกัด,14/6/2559," 1,000,000 ",47595,ประกอบกิจการค้าตู้เย็น เครื่องทำความเย็น รวมทั้งอะไหล่,946 ถนนศาลาธรรมสพน์  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
955,0105559093130,บจ.ซี คอร์ปอเรท แมนเน็จเม้นท์ คอนซัลติ้ง จำกัด,17/6/2559," 1,000,000 ",69200,ประกอบกิจการรับทำบัญชี การสอบบัญชี และการให้คำปรึกษาด้านภาษี,99/94 หมู่ที่ 2  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
956,0105559093601,บจ.ไฟลท์ สวิฟท์ อินเตอร์เนชั่นแนล จำกัด,17/6/2559," 1,000,000 ",49323,ประกอบธุรกิจให้บริการเป็นเช่าเหมาลำ สำหรับการขนส่งผู้โดยสารและสินค้าภายในประเทศและระหว่างประเทศ,14/11 หมู่ที่ 8  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
957,0105559094624,บจ.จีเอ็ม พาวเวอร์ ไลน์ จำกัด,21/6/2559," 1,000,000 ",82990,ประกอบกิจการรับเหมาแรงงานประมูลงานเพื่อการก่อสร้าง,74 ซอยอินทราวาส 13  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
958,0105559094900,บจ.ชา เอ็นริช จำกัด,21/6/2559," 1,000,000 ",46900,ประกอบกิจการค้า นำเข้า ส่งออก สินค้าอุปโภคบริโภคทุกชนิด,168/4 ซอยริมคลองชักพระ  แขวงคลองชักพระ เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
959,0105559095264,บจ.รินลดา เทรดดิ้ง จำกัด,22/6/2559," 1,000,000 ",46201,ประกอบกิจการค้า ข้าว ข้าวโพด มันสัมปะหลัง และพืชผลทางเกษตรอื่นทุกชนิด,96 ซอยสวนผัก 50  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
960,0105559096074,บจ.ซอฟท์เฮาส์ โปรดักชั่น จำกัด,23/6/2559," 1,000,000 ",73101,รับผลิตสื่อบันเทิงด้านต่างๆ,221 หมู่ที่ 11 ซอยนพรัตน์  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
961,0105559096716,บจ.ธิตราวัสดุก่อสร้าง จำกัด,23/6/2559," 1,000,000 ",46639,การขายส่งวัสดุก่อสร้าง โลหะ,99/104 ซอยราชพฤกษ์ 9  แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
962,0105559096848,บจ.เค.เอฟ.ดับบลิว. ไมโครซายน์ เซอร์วิส จำกัด,23/6/2559," 1,000,000 ",33132,ซ่อมแซมบำรุงรักษา ตรวจสอบเครื่องมือแพทย์และอุปกรณ์การแพทย์,18/5 ซอยราชพฤกษ์ 8  แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
963,0105559097097,บจ.เอ็มเอ็ม พร็อพเพอร์ตี้ กรุ๊ป จำกัด,24/6/2559," 1,000,000 ",68201,เป็นตัวแทน จัดหา ซื้อขาย ทำการเช่า พัฒนา จัดสรรที่ดิน อสังหาริมทรพย์ทุกประเภท,49/28 ซอยอุทยาน 4 ถนนอุทยาน  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
964,0105559097135,บจ.ฐานชีวิต จำกัด,24/6/2559," 1,000,000 ",70209,ประกอบกิจการเป็นที่ปรึกษาด้านฝึกอบรม,75/23 หมู่ที่ 9 ถนนพุทธมณฑลสาย 2 ซอย 19  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
965,0105559097402,บจ.ซายเน่ อินเตอร์เนชั่นแนล จำกัด,24/6/2559," 1,000,000 ",46441,ประกอบกิจการขายส่งและขายปลีก สินค้าทางเภสัชภัณฑ์และทางการแพทย์,7/210 ซอยทวีวัฒนา 24 ถนนทวีวัฒนา  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
966,0105559097810,บจ.แอลพีบี คอนซัลแทนท์ จำกัด,24/6/2559," 1,000,000 ",69200,ประกอบกิจการให้บริการตรวจสอบและสอบทานบัญชีการเงิน,188 ซอยทวีวัฒนา 19/1 ถนนทวีวัฒนา  แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
967,0105559099146,บจ.อดามัส มาเก็ตติ้ง จำกัด,28/6/2559," 1,000,000 ",46431,ประกอบกิจการขายส่งและการขายปลีก สินค้า จำพวกเครื่องเขียน อุปกรณ์ก่อสร้าง,8 ซอยชักพระ 14 ถนนชักพระ  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
968,0105559100705,บจ.พืชโตไว อโกร จำกัด,30/6/2559," 1,000,000 ",20121,ประกอบกิจการผลิต วิจัย พัฒนา ปรับปรุง ขายส่ง ขายปลีก ปุ๋ยเคมี ปุ๋ยชีวภาพ,142/4 หมู่บ้านกฤษดานคร 31 หมู่ที่ 11 ซอยนพรัตน์  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,,
969,0105559100845,บจ.ช.รุ่งโรจน์การไฟฟ้า จำกัด,30/6/2559," 1,000,000 ",43210,ประกอบกิจการรับจ้างติดตั้ง ซ่อม ออกแบบระบบไฟฟ้าแรงสูงทุกประเภท,193 ถนนชัยพฤกษ์  แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170,,
970,0103559009358,หจ.เดอะ กอร์จัส,20/6/2559," 1,000,000 ",20232,ผลิตและจำหน่ายเครื่องสำอางทุกประเภท,111 ตรอกศิลป์  แขวงบวรนิเวศ เขตพระนคร กรุงเทพมหานคร 10200,,
971,0105559085056,บจ.มหรรณพโฮสเทล จำกัด,3/6/2559," 1,000,000 ",55101,ประกอบกิจการเพื่อให้เช่าห้องพัก จำหน่ายกาแฟ เครื่องดื่มและอาหารว่าง,22-24 ถนนมหรรณพ  แขวงเสาชิงช้า เขตพระนคร กรุงเทพมหานคร 10200,,
972,0105559085943,บจ.ในฝัน เอ็กซ์เชนจ์ จำกัด,7/6/2559," 1,000,000 ",66123,ประกอบธุรกิจให้บริการรับแลกเปลี่ยน ซื้อ ขาย เงินตรา ธนบัตรต่างประเทศและเช็คเดินทางต่างประเทศ,10 ถนนหน้าพระลาน  แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร 10200,,
973,0105559090262,บจ.พี เอส ดับเบิ้ลยู เทคโนโลยี จำกัด,13/6/2559," 1,000,000 ",46422,ประกอบกิจการค้า ออกแบบ ติดตั้ง และให้เช่าอุปกรณ์ทุกชนิดของระบบไฟฟ้าแสงสว่าง,290/2 ถนนตะนาว  แขวงศาลเจ้าพ่อเสือ เขตพระนคร กรุงเทพมหานคร 10200,,
974,0105559091455,บจ.เบด สเตชั่น โฮเท็ล จำกัด,15/6/2559," 1,000,000 ",55101,ประกอบกิจการโรงแรม ภัตตาคาร,6 ถนนปรินายก  แขวงบ้านพานถม เขตพระนคร กรุงเทพมหานคร 10200,,
975,0105559094381,บจ.พาวเวอร์ ออพชั่น (2016) จำกัด,20/6/2559," 1,000,000 ",46510,ประกอบกิจการเพื่อจำหน่ายฮาร์ดแวร์ ซอฟต์แวร์ อุปกรณ์คอมพิวเตอร์ทุกชนิด,36 ซอยเทศา  แขวงวัดราชบพิธ เขตพระนคร กรุงเทพมหานคร 10200,,
976,0105559098671,บจ.อมรพัฒนาโฮลดิ้ง จำกัด,27/6/2559," 1,000,000 ",68102,ประกอบธุรกิจพัฒนาอสังหาริมทรัพย์,78 ถนนประชาธิปไตย  แขวงบ้านพานถม เขตพระนคร กรุงเทพมหานคร 10200,,
977,0105559100462,บจ.อะลาดิน มันนี่ เอ็กซ์เชนจ์ จำกัด,29/6/2559," 1,000,000 ",66123,ประกอบกิจการให้บริการแลกเปลี่ยนเงินตรา,72/1 ถนนข้าวสาร  แขวงตลาดยอด เขตพระนคร กรุงเทพมหานคร 10200,,
978,0103559008386,หจ.เอทีดี แมชีนเนอรี แอนด์ เซอร์วิส,3/6/2559," 1,000,000 ",43210,ให้บริการออกแบบติดตั้ง ซ่อมแซม ระบบไฟฟ้า ระบบประปา ระบบไอที เครื่องจักรกลต่างๆ,46/554 ซอยพหลโยธิน 52 แยก 43 (หมู่บ้านธนวรรณ)  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210,,
979,0103559008475,หจ.ควอลิพลาสแพ็ค,6/6/2559," 1,000,000 ",46693,ประกอบกิจการประเภทซื้อขายพลาสติก,33/5 ซอยงามวงศ์วาน 47 แยก 15 (ชินเขต 2/15)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210,,
980,0103559008769,หจ.ใบโพธิ์ เอ็นจิเนียริ่ง,9/6/2559," 1,000,000 ",46510,ขายส่งคอมพิวเตอร์ และซอฟต์แวร์อุปกรณ์อิเล็กทรอนิกส์และเครื่องมือสื่อสาร,8/56 ถนนเพิ่มสิน  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210,,
981,0103559009153,หจ.เจ.พี.โฮมเซอร์วิส,15/6/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร บ้านพักอาศัย สำนักงานเอกชนและหน่วยงานราชการ,192/116 ซอยสุขาภิบาล 5 ซอย 66  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210,,
982,0103559009544,หจ.คุณความดี เอ็นจิเนียริ่ง,23/6/2559," 1,000,000 ",46639,ประกอบกิจการค้าวัสดุก่อสร้าง,109/10 ซอยประชาอุทิศ 4  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210,,
