นิติบุคคลจัดตั้งเดือนเมษายน  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
"1,122",0105559059977,บจ.เฌอเทค ปิโตรเลียมอีควิปเมนท์ จำกัด,11/4/2559," 1,000,000 ",46599,ประกอบกิจการค้า ขายเครื่องจักรและอุปกรณ์ อื่น,184/71 อาคารฟอรั่ม ทาวเวอร์ ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,123",0105559060291,บจ.ไบรท์เทอร์ เอิร์ธ โฮลดิ้งส์ จำกัด,11/4/2559," 1,000,000 ",42202,ประกอบกิจการก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์หรือ เครื่องผลิตกระแสไฟฟ้า,7 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,124",0105559060541,บจ.สกินไอดีล จำกัด,11/4/2559," 1,000,000 ",63113,เป็นตลาดกลางในการซื้อขายสินค้าหรือบริการ โดยใช้สื่ออิเล็คทรอนิคส์ผ่านระบบเครือข่าย,55 อาคารเดลต้าเฮ้าส์ ชั้นที่ 2 ถนนเทียมร่วมมิตร  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,125",0105559060606,บจ.วิเศษศิลปิน จำกัด,11/4/2559," 1,000,000 ",59112,ประกอบกิจการผลิตรายการ ละครและสื่อประชาสัมพันธ์ต่างๆ ทางโทรทัศน์ วิทยุและสื่อทุกประเภท,600/45 หมู่บ้านบีสแควร์ พระราม9-เหม่งจ๋าย ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,126",0105559060878,บจ.ทีพี-ไนน์ เอ็นจิเนียริง จำกัด,12/4/2559," 1,000,000 ",43299,ประกอบกิจการงานบริการและงานบริการติดตั้งระบบต่างๆ,46 ซอยลาดพร้าว 110 แยก 2  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,127",0105559060959,บจ.เดลมาร์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,12/4/2559," 1,000,000 ",52292,กิจกรรมของตัวแทนผู้รับจัดการขนส่งสินค้าและตัวแทนออกของ (ตัวแทนดำเนินพิธีการศุลกากร),296 อาคารเคเอสพี ชั้น 2 ห้อง 2 เอ ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,128",0105559061122,บจ.เบฟ แอนด์ บียอนด์ จำกัด,12/4/2559," 1,000,000 ",46321,ประกอบกิจการจำหน่ายเครื่องดื่มที่มีส่วนผสมของแอลกอฮอล์,568 ซอยลาดพร้าว 94  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,129",0105559061157,บจ.ไบรท์เทอร์ เอิร์ธ วัน จำกัด,12/4/2559," 1,000,000 ",42202,ประกอบกิจการก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์หรือเครื่องผลิตกระแสไฟฟ้า,7 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,130",0105559061165,บจ.ไบรท์เทอร์ เอิร์ธ ทู จำกัด,12/4/2559," 1,000,000 ",42202,ประกอบกิจการก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์หรือเครื่องผลิตกระแสไฟฟ้า,7 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,131",0105559061297,บจ.แนทกรุ๊ป เอ็กซ์พอร์ท จำกัด,12/4/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบกทางน้ำทางอากาศ,516/122 ซอยรามคำแหง 39 (เทพลีลา1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,132",0105559061491,บจ.นิวโฮพ97 จำกัด,12/4/2559," 1,000,000 ",46441,ประกอบกิจการค้าผลิตภัณฑ์ทำจากสมุนไพร อาหารเสริมเพื่อสุขภาพ,48/22 ซอยรุ่งเรือง  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,133",0105559061661,บจ.วินคอมพ์เทค จำกัด,12/4/2559," 1,000,000 ",62012,กิจกรรมการจัดทำโปรแกรมคอมพิวเตอร์ตามวัตถุประสงค์ของผู้ใช้,674/6 ซอยยูลิ 2 ถนนประชาราษฎ์บำเพ็ญ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,134",0105559061734,บจ.เอสทีพี ฟู้ด ซัพพลาย แอนด์ โลจิสติกส์ จำกัด,18/4/2559," 1,000,000 ",52291,การบริการอาหารสำหรับกิจการขนส่ง คลังสินค้าและการจัดเก็บสินค้าแช่เย็นหรือแช่แข็ง,55/47 ซอยลาดพร้าว 88 (อรพิน)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,135",0105559062391,บจ.พรนภา บิวตี้ คอสเมติกส์ จำกัด,18/4/2559," 1,000,000 ",46443,ประกอบกิจการค้านำเข้าส่งออกเครื่องสำอางครีมโลชั่น สบู่ ลิปสติก มาศคาล่า อายไลเนอร์น้ำหอม,312/29 ซอยลาดพร้าว 87 (จันทราสุข)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,136",0105559062790,บจ.เจ.โอ.เอ็น.เอส. จำกัด,19/4/2559," 1,000,000 ",46109,สั่งเข้ามาจำหน่ายประเทศและส่งออกไปจำหน่ายต่างประเทศซึ่งสินค้าตามที่กำหนดไว้ในวัตถุประสงค์,276/296 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,137",0105559063206,บจ.ทีพีจีเอ็มซี จำกัด,20/4/2559," 1,000,000 ",79909,ให้บริการจัดการแนะนำคนต่างชาติมาใช้บริการโรงพยาบาลในประเทศไทย,976/19 ถนนริมคลองสามเสน  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,138",0105559063494,บจ.เอบีเอ็ม เอ็นเตอร์ไพรส์ จำกัด,20/4/2559," 1,000,000 ",64201,เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วน เป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชน,962 ซอยลาดพร้าว 47 (สะพาน 2)  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,139",0105559063508,บจ.ชี๊พ คาร์เร้นท์ จำกัด,20/4/2559," 1,000,000 ",77101,การให้เช่าและให้เช่าแบบลีสซิ่งยานยนต์ชนิดนั่งส่วนบุคคล รถกระบะ รถตู้,35/1 ซอยไพศาล ถนนประชาราษฎร์บำเพ็ญ 7  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,140",0105559063729,บจ.เคเอสที (ไทยแลนด์) จำกัด,21/4/2559," 1,000,000 ",10309,ประกอบกิจการผลิตและแปรรูปสินค้าพืชผลทางการเกษตรเช่น น้ำผลไม้ นมอัดเม็ด ผลไม้กระป๋องและสินค้าอื่น,2014/4 ซอยลาดพร้าว 80/1 ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,141",0105559063800,บจ.โกลเด้น อายส์ เวิร์ล จำกัด,21/4/2559," 1,000,000 ",59111,ประกอบกิจการจัดทำภาพยนต์ ซื้อ ขาย แลก เปลี่ยนภาพยนต์และแถบบันทึกวิถีทัศน์ภาพและเสียง,28/767 อาคารศุภาลัย เวลลิงตัน ชั้นที่ 15 ถนนเทียมร่วมมิตร  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,142",0105559064032,บจ.ทู มอร์ เดธ จำกัด,21/4/2559," 1,000,000 ",73101,รับจัดการวางแผน ติดต่อ โฆษณาประชาสัมพันธ์ ออกแบบตกแต่งและจัดทำสถานที่งานพิธีต่างๆทั้งในและต่างประเทศ,338/197 ซอยลาดพร้าว 80 (จันทิมา) ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,143",0105559064067,บจ.รีสเซิน แคปปิตอล จำกัด,21/4/2559," 1,000,000 ",68102,ประกอบกิจการ จัดสรรที่ดิน ก่อสร้างอาคารพาณิชย์ อาคารชุด บ้าน ห้องชุด,33/4 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,144",0105559064091,บจ.ไมล์สโตน เอ็นเตอร์ไพร์ส จำกัด,21/4/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหาร และภัตตาคาร,28/654 ถนนเทียนร่วมมิตร  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,145",0105559064113,บจ.เอส3 เทรดดิ้ง อินเตอร์เนชั่นแนล จำกัด,21/4/2559," 1,000,000 ",46900,ซื้อ ขาย ส่งออก นำเข้า ผลไม้ ผัก อาหาร สินค้าอุปโภคบริโภค,568 ซอยลาดพร้าว 94  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,146",0105559064261,บจ.เฮง เฮง 189 จำกัด,21/4/2559," 1,000,000 ",47691,ประกอบกิจการรับซื้อ ขาย วัตถุโบราณ และพระเครื่องทุกชนิด,248/33 ซอยลาดพร้าว 122 (มหาดไทย 1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,147",0105559064601,บจ.เวิลด์ซอฟท์บิซ จำกัด,22/4/2559," 1,000,000 ",58202,ประกอบธุรกิจผลิตและจำหน่ายซอฟต์แวร์ คอมพิวเตอร์,1421 ถนนลาดพร้าว  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,148",0105559064881,บจ.ดีเอ็นจี เวิลด์ไวด์ จำกัด,22/4/2559," 1,000,000 ",46109,ประกอบกิจการนำเข้าสินค้าทุกชนิด จากต่างประเทศ เพื่อจำหน่ายปลีกและส่ง,282/4 ชั้น 1ล็อค บี ห้องเลขที่ อี (E) 105 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,149",0105559064962,บจ.เอ็นเทค อี-พลัส จำกัด,22/4/2559," 1,000,000 ",16210,ประกอบกิจการผลิตและจำหน่ายไม้อัดเม็ด,5 ซอยลาดพร้าว 70 (ศรีอุดม) ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,150",0105559064989,บจ.ไทย แนทแอปเปิ้ล จำกัด,22/4/2559," 1,000,000 ",46522,ประกอบกิจการค้าโทรศัพท์ อุปกรณ์อิเล็กทรอนิก,102 ซอยลาดพร้าว 73 (แหลมทอง)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,151",0105559065144,บจ.โซลซีเครท(ประเทศไทย) จำกัด,25/4/2559," 1,000,000 ",46319,ประกอบกิจการค้า ผลิตภัณฑ์อาหารเสริม,1999/14-15 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,152",0105559065195,บจ.เคเอส พรีเมี่ยม ฟู้ด จำกัด,25/4/2559," 1,000,000 ",46319,ประกอบกิจการขายส่ง ขายปลีก ผลิตภัณฑ์เสริมอาหาร และอาหารทุกประเภท,1213/466 ซอยลาดพร้าว 94  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,153",0105559065225,บจ.เอสเอ็ม คิงส์ ฟรุ๊ต จำกัด,25/4/2559," 1,000,000 ",46313,ขายส่งผลไม้,59 อาคารฟลอริชช์ ห้อง ดอร์ทมุนด์ ชั้น 6 ซอยรัชดาภิเษก 18 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,154",0105559065624,บจ.ไอด้า เบบี้ จำกัด,25/4/2559," 1,000,000 ",46499,ประกอบกิจการนำเข้าสินค้า ของใช้สำหรับเด็ก ผลิตภัณฑ์สินค้าของใช้สำหรับเด็ก จัดจำหน่ายสินค้าสำหรับเด็ก,1213/490 ซอยลาดพร้าว 94 (ปัญจมิตร) ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,155",0105559065764,บจ.มีเฮไลฟ์ จำกัด,25/4/2559," 1,000,000 ",46103,นำเข้า ส่งออก ผลิตและจำหน่ายโลชั่น ครีมทาผิว ครีมบำรุงผิว โลชั่น โฟมล้างหน้า สบู่ทำความสะอาด ฯ,1510 ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,156",0105559065977,บจ.บีนส์ โฮลดิ้ง (ไทยแลนด์) จำกัด,26/4/2559," 1,000,000 ",68201,ประกอบธุรกิจให้บริการรับเป็นที่ปรึกษาพัฒนาอสังหาริมทรัพย์ รวมถึงการดูแล เป็นตัวแทนนายหน้า,3 ซอยลาดพร้าว 52 (นิเวศน์ 2)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,157",0105559066205,บจ.แม่ศรีเรือน ขนมครก และ ขนมไทย จำกัด,26/4/2559," 1,000,000 ",10794,อาหารสด อาหารแห้ง และอาหารพร้อมปรุงเพื่อรับประทาน ส่วนประกอบของอาหารสดและอาหารแห้ง,14 ซอยลาดพร้าว 110 (สนธิวัฒนา) ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,158",0105559067074,บจ.ให้รัก จำกัด,27/4/2559," 1,000,000 ",47691,ซื้อมา-ขายไป สินค้าจำพวก ของชำร่วย ของฝาก ผลิตภัณฑ์แฮนเมด และของที่ระลึกทุกประเภท,50 ซอยลาดพร้าว 97 (เสริมโชค)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,159",0105559067091,บจ.เทคไลฟ์แคร์ จำกัด,27/4/2559," 1,000,000 ",68201,ขาย โอน จำนอง จำนำ แลกเปลี่ยน และจำหน่ายทรัพย์สินโดยประการอื่น,302/13 ชั้นที่ 4 ถนนรัชดาภิเษก  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,160",0105559067155,บจ.เอ็นเนอร์ยี่ ฟอร์ กรีน จำกัด,27/4/2559," 1,000,000 ",74902,ประกอบธุรกิจบริการด้านพลังงานและสิ่งแวดล้อม,1213/69 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,161",0105559067163,บจ.กรีน ฟิวเจอร์ จำกัด,27/4/2559," 1,000,000 ",74902,ประกอบธุรกิจบริการด้านพลังงานและสิ่งแวดล้อม,1213/69 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,162",0105559067546,บจ.สุ แลนด์สเคป อาร์คิเทคเจอร์ จำกัด,28/4/2559," 1,000,000 ",71101,ประกอบวิชาชีพภูมิสถาปัตยกรรม บริการ ออกแบบและให้คำปรึกษาทางด้านภูมิสถาปัตยกรรม,328/40 หมู่บ้านมนตรีทาวน์โฮม ซอยลาดพร้าว87 (จันทราสุข) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,163",0105559068224,บจ.วิ๊งเวอร์ จำกัด,29/4/2559," 1,000,000 ",58202,ให้บริการจัดการระบบฐานข้อมูลซอฟต์แวร์ พัฒนาระบบฐานข้อมูลและซอฟต์แวร์,274/3 ซอยรุ่งเรือง  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,164",0105559068461,บจ.ยู กรุ๊ป อินเตอร์เนชั่นแนล จำกัด,29/4/2559," 1,000,000 ",73101,ให้บริการโฆษณาสินค้าผ่านระบบเครือข่ายอินเตอร์เน็ตหรือด้วยสื่ออิเลคทรอนิกส์,2354/8 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,165",0105559068801,บจ.อิงลิช ฟอร์ สปีค จำกัด,29/4/2559," 1,000,000 ",85491,กิจกรรมการเรียนการสอนภาษา,1213/405 ซอยลาดพร้าว 94 ถนนศรีวรา  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310,,
"1,166",0105559068852,บจ.544 พร็อพเพอร์ตี้ จำกัด,29/4/2559," 1,000,000 ",68102,ซื้อ ขาย จำนอง เกี่ยวกับอสังหาริมทรัพย์,656 ซอยอยู่เจริญ 29  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310,,
"1,167",0105559056200,บจ.ยู ฟอร์เวิร์ด จำกัด,1/4/2559," 1,000,000 ",10799,ประกอบกิจการผลิต และจำหน่ายสินค้า อาหารเสริม และ เสริมความงาม,9/10 โนเบิล 09 ซอยร่วมฤดี ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,168",0105559056285,บจ.แอดวานซ์ แมททีเรียล (เอเชีย) จำกัด,1/4/2559," 1,000,000 ",46599,ประกอบกิจการจำหน่าย อุปกรณ์ผลิตพลังงานแสงอาทิตย์ พลังงานหมุนเวียน และพลังงานอื่นๆ,52/57 ซอยหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,169",0105559056838,บจ.พริตตี้ นาระ จำกัด,4/4/2559," 1,000,000 ",46443,ประกอบกิจการค้าเครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,62 อาคารเดอะ มิลเลนเนีย ทาวเวอร์ ชั้นที่ 12 ห้องเลขที่ 1205 ถนนหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,170",0105559057168,บจ.เพซ แมเนจเมนท์ จำกัด,4/4/2559," 1,000,000 ",55101,ประกอบธุรกิจบริการโรงแรม รีสอร์ท คอนโดมีเนียม และที่พักอาศัย,87/2 ซีอาร์ซี ทาวเวอร์ ออลซีซั่นเพลส ชั้น45 ยูนิต3 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,171",0105559058857,บจ.สนาเบล่า จำกัด,8/4/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหารและเครื่องดื่ม ภัตตาคาร ร้านกาแฟ ร้านเบเกอรี่ จำหน่ายอาหารปรุงสำเร็จ เบเกอรี่,1041/64 อาคารโอทู ฮิป คอนโด ชั้นที่ 2 ซอยนายเลิศ ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,172",0105559059179,บจ.ออล อเบ้าท์ บอท จำกัด,8/4/2559," 1,000,000 ",46421,ประกอบกิจการค้า เครื่องดูดฝุ่น รวมถึงชิ้นส่วน อะไหล่ อุปกรณ์ของสินค้าดังกล่าว,198 โครงการ ยูเซ็นเตอร์ ห้องเลขที่ A 07 ซอยจุฬา 4 ถนนจุฬา 42  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,173",0105559061246,บจ.เทเลแอสเสท จำกัด,12/4/2559," 1,000,000 ",77309,เช่า หรือให้เช่าเครื่องมือที่เกี่ยวข้องกับโทรคมนาคม,319 อาคารจัตุรัสจามจุรี ชั้นที่ 28 ถนนพญาไท  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,174",0105559061335,บจ.เทอเนอร์ อินเตอร์เนชั่นแนล คอนซัลติ้ง (ไทยแลนด์) จำกัด,12/4/2559," 1,000,000 ",64202,กิจกรรมของบริษัทโอลดิ้ง,57 อาคารปาร์ค เวนเชอร์ อีโคเพล็กซ์ ชั้นที่ 18 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,175",0105559061998,บจ.วาริธร บูติค จำกัด,18/4/2559," 1,000,000 ",46414,ประกอบกิจการค้าเสื้อผ้าสำเร็จรูป เครื่องแต่งกาย และวัสดุอุปกรณ์ทุกชนิด,"4, 4/1, 4/2, 4/4 ศูนย์การค้าเซ็นทรัลเวิลด์ ชั้นที่ 2 ห้องเลขที่ เอ 213/2 ถนนราชดำริห์  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330",,
"1,176",0105559062170,บจ.อัลทิเมท ซอฟตแวร์ จำกัด,18/4/2559," 1,000,000 ",62012,ประกอบกิจการให้บริการจัดทำ รับเขียนซอฟต์แวร์ และโปรแกรมต่าง ๆ,14/72 ถนนจรัสเมือง  แขวงรองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,177",0105559062226,บจ.โอเอ็มจี ดิจิตอล (ประเทศไทย) จำกัด,18/4/2559," 1,000,000 ",73101,ประกอบกิจการเป็นตัวแทนและรับจ้างทำการโฆษณาในสื่อมวลชนทุกประเภท และทำการโฆษณา,500 อาคารอัมรินทร์ พลาซ่า ชั้น 21 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,178",0105559062269,บจ.ออมนิคอม มีเดีย กรุ๊ป (ประเทศไทย) จำกัด,18/4/2559," 1,000,000 ",73101,ประกอบกิจการเป็นตัวแทนและรับจ้างทำการโฆษณาในสื่อมวลชนทุกประเภท และทำการโฆษณา,500 อาคารอัมรินทร์ พลาซ่า ชั้น 21 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,179",0105559066264,บจ.ออร์โธ-คลินิคอล ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,26/4/2559," 1,000,000 ",46599,ประกอบกิจการสนับสนุนการค้าและการลงทุน เกี่ยวกับเครื่องจักร เครื่องกล เครื่องมือและอุปกรณ์,"4, 4/5 อาคารเซน เวิลด์ ชั้นที่ 12 ห้อง 03 ถนนราชดำริห์  แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330",,
"1,180",0105559066621,บจ.กรีน คอนซัลติ้ง จำกัด,27/4/2559," 1,000,000 ",62022,ประกอบกิจการให้บริการด้านการวางแผนระบบงานด้วยวอฟต์แวร์คอมพิวเตอร์,496 อาคารอัมรินทร์ ทาวเวอร์ ชั้น18 ห้อง1811 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,181",0105559066922,บจ.ฟิกส์ ครีเอทีฟ สเปซ จำกัด,27/4/2559," 1,000,000 ",68104,ประกอบกิจการเช่า/ให้เช่า พื้นที่ อาคารสถานที่ ในการจัดประชุมอบรม สัมมนา,518/5 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,182",0105559067198,บจ.ซคิแมทิค เทรดดิ้ง จำกัด,27/4/2559," 1,000,000 ",52292,ประกอบกิจการเป็นนายหน้า ประสานงานติดต่อเกี่ยวกับสินค้าต่างๆ เช่น ผลิตภัณฑ์เกี่ยวกับกระดาษ,55 อาคารเวฟ เพลส ชั้นที่ 17 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,183",0105559067635,บจ.ไพร์ม โมเดลส์ จำกัด,28/4/2559," 1,000,000 ",78101,จัดหา จัดจ้าง จัดให้มี บุคคล นักแสดง ศิลปิน ดารา นักแสดงสาธารณะ เพื่อการโฆษณาประชาสัมพันธ์,9/353 ซอยสมคิด  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,184",0105559068267,บจ.โวคส์ แอร์ ฟิลเตรชั่น จำกัด,29/4/2559," 1,000,000 ",47190,ขายปลีก ขายส่ง และดำเนินการตลาดผลิคภัณฑ์ด้านวิทยาศาสตร์ การแพทย์ ยานยนต์,62 อาคารเดอะมิลเลนเนีย ทาวเวอร์ ชั้นที่ 20 ห้องเลขที่ 2001 ถนนหลังสวน  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,185",0105559068585,บจ.โรยัลตี้ ฮอสปิทัลลิตี้ จำกัด,29/4/2559," 1,000,000 ",56101,ประกอบกิจการจำหน่ายอาหารและเครื่องดื่มทุกชนิด,6/1 อาคารสมคิดเพลส ซอยสมคิด ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,186",0105559068933,บจ.อาคิ แพลน (ประเทศไทย) จำกัด,29/4/2559," 1,000,000 ",41001,ประกอบธุรกิจพัฒนาอสังหาริมทรัพย์ ก่อสร้างอาคารบ้านเรือน ออกแบบทางสถาปัตยกรรม,57 อาคารปาร์ค เวนเชอร์ อีโคเพล็กซ์ ชั้น 18 ยูนิต 1818 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330,,
"1,187",0105559056331,บจ.ฟรอสท์ เมนเนจเม้นท์ จำกัด,1/4/2559," 1,000,000 ",56101,ประกอบกิจการค้า ภัตตาคาร บาร์ ไนท์คลับ,26/4 ซอยอินทามระ 11 ถนนสุทธิสารวินิจฉัย  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
"1,188",0105559056781,บจ.ไนน์พ้อยท์ไฟว์ กรุ๊ป จำกัด,4/4/2559," 1,000,000 ",68103,ประกอบกิจการให้เช่าที่พักอาศัย บ้านเช่า หอพัก อพาร์ทเม้นท์,39/2 ซอยอินทามระ 40  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
"1,189",0105559057079,บจ.รีกท์ดอทคอม จำกัด,4/4/2559," 1,000,000 ",79909,ประกอบกิจการบริการให้คำปรึกษาฯ เกี่ยวกับการเดินทาง ทั้งในประเทศและต่างประเทศ,74/19 ซอยแม่เนี้ยว แยก 3  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
"1,190",0105559057133,บจ.เท็นเท็น กรุ๊ป จำกัด,4/4/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหาร,"15,33 สเปซ อาคารรัจนาการ ชั้นที่ 4 ห้องเลขที่ 4 ซี ซอยประดิพัทธ์ 17 ถนนประดิพัทธ์  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400",,
"1,191",0105559057371,บจ.โมชิ คุง จำกัด,5/4/2559," 1,000,000 ",56101,ประกอบกิจการขายอาหารแบบบุฟเฟต์,93/6 ซอยอารีย์สัมพันธ์ 1 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400,,
"1,192",0105559058229,บจ.ซิตี้ บางกอก พรอพเพอตี้ จำกัด,7/4/2559," 1,000,000 ",68102,ประกอบกิจการค้าและพัฒนาอสังหาริมทรัพย์,238/197 ซอยนาทอง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400,,
