นิติบุคคลจัดตั้งเดือนกรกฎาคม  2559,,,,,,,,,
ทั่วประเทศ,,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
449,0105559109958,บจ.วาล์วสยามนาคินทร์ วอเตอร์เวิร์ค จำกัด,15/7/2559," 1,000,000 ",11041,ประกอบกิจการผลิตและจำหน่ายน้ำสะอาด,249 ถนนสมเด็จพระเจ้าตากสิน  แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600,,
450,0105559110930,บจ.ทุน ธัชกร จำกัด,21/7/2559," 1,000,000 ",90002,ประกอบกิจการรับจ้างจัดงานแสดงดนตรี จัดหาวงดนตรี นักดนตรีและเครื่องเสียง,34 ถนนเจริญนคร  แขวงสำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600,,
451,0105559113386,บจ.เมฆมรกต จำกัด,25/7/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหาร เบเกอร์รี่ และเครื่องดื่ม,"254,256 ถนนประชาธิปก  แขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพมหานคร 10600",,
452,0105559114030,บจ.พีซีเอ็ม การบัญชีและภาษีอากร จำกัด,26/7/2559," 1,000,000 ",69100,ประกอบกิจการให้บริการทางด้านกฎหมายและการบัญชี,395/4 ถนนริมทางรถไฟ  แขวงบางยี่เรือ เขตธนบุรี กรุงเทพมหานคร 10600,,
453,0105559105766,บจ.เกลอ เพชรบุรี จำกัด,8/7/2559," 1,000,000 ",68103,ให้เช่าห้องพักอาศัย และให้บริการสาธารณูปโภค,4 ซอยเจริญนคร 29/2 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
454,0105559106291,บจ.วีเค เน็ตเซอร์วิส จำกัด,8/7/2559," 1,000,000 ",62023,บริการให้คำปรึกษา รับออกแบบ ให้เช่า พัฒนา และวางระบบเครือข่าย ดาต้าเซ็นเตอร์ ระบบคลาวด์,328/3 ถนนลาดหญ้า  แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,,
455,0105559106410,บจ.ครอสไฟร์เวิร์ค จำกัด,8/7/2559," 1,000,000 ",58202,ประกอบกิจการผลิตและจัดจำหน่ายซอฟต์แวร์และซอฟต์แวร์เกมทุกชนิดทุกประเภท,9 ซอยธนะ ถนนสมเด็จเจ้าพระยา  แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600,,
456,0105559107238,บจ.บัดดี้ พร๊อพเพอร์ตี้ จำกัด,11/7/2559," 1,000,000 ",68201,ให้บริการนายหน้า ตัวแทนและเป็นที่ปรึกษาในกิจการอสังหาริมทรัพย์ และสังหาริมทรัพย์ทุกประเภท,87 ซอยเจริญนคร 26 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
457,0105559107912,บจ.เทอร์บิค จำกัด,12/7/2559," 1,000,000 ",62012,ประกอบกิจการให้บริการเกี่ยวกับการเขียนโปรแกรม พัฒนาโปรกแรม ระบบคอมพิวเตอร์ทุกชนิด,861 ซอยกรุงธนบุรี 6 ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
458,0105559108226,บจ.ที่หนึ่งร้อยแปด จำกัด,13/7/2559," 1,000,000 ",68104,ให้เช่าอสังหาริมทรัพย์ เช่น อาคารสำนักงาน โกดังสินค้า ฯลฯ,108 ซอยเจริญนคร 24 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
459,0105559108510,บจ.เดอะ เอ็กซ์เปอร์ทิส คอนเซ้าท์ติ้ง แอนด์ เทรนนิ่ง จำกัด,13/7/2559," 1,000,000 ",70209,ประกอบกิจการ ที่ปรึกษาธุรกิจ และฝึกอบรม ยกเว้นที่ปรึกษาด้านการลงทุน,150 ซอยกรุงธนบุรี 8 ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
460,0105559109095,บจ.เอส อาร์ เค บิลดิ้ง จำกัด,14/7/2559," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้าง ออกแบบ จัดระบบควบคุม รับเหมา รับช่วงงาน,22 ตรอกศักดิ์สิน ซอยกรุงธนบุรี 1 ถนนกรุงธนบุรี  แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600,,
461,0105559110794,บจ.ฟิวเจอร์ เมคเกอร์ จำกัด,21/7/2559," 1,000,000 ",47630,ประกอบกิจการนำเข้าจำหน่ายสินค้าอุปกรณ์ที่เกี่ยวข้องกับการพักผ่อนการเดินทาง เช่น ที่อุดหู หมอน ถุงนอน,32/17 ซอยเจริญรัถ 18 ถนนเจริญรัถ  แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600,,
462,0105559111243,บจ.คุณากร คอร์ปอเรชั่น จำกัด,21/7/2559," 1,000,000 ",70209,กิจกรรมให้คำปรึกษาด้านการบริหารจัดการ,4 ซอยเจริญนคร 44 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
463,0105559113050,บจ.ดับเบิลยูดีซี กรุ๊ป จำกัด,25/7/2559," 1,000,000 ",70209,ประกอบกิจการรับเป็นที่ปรึกษาให้การวิเคราะห์เกี่ยวกับการเกษียณอายุ การศึกษาของบุตร สวัสดิการ,133 หมู่บ้านบางกอกกรีนปาร์ค ซอยเจริญนคร 32/1 ถนนเจริญนคร  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
464,0105559113459,บจ.สยาม บิสสิเนส เทรดดิ้ง คอร์เปอเรชั่น จำกัด,25/7/2559," 1,000,000 ",47190,ประกอบกิจการค้าเครื่องสำอาง สินค้าแฟชั่นทันสมัย ผ่านอุปกรณ์อิเล็กทรอนิกส์,112 ตรอกขี้เถ้า ซอยกรุงธนบุรี 4 ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
465,0105559114901,บจ.คลีน เรสซิเด้นท์ จำกัด,27/7/2559," 1,000,000 ",68103,ให้เช่าอสังหาริมทรัพย์ และสังหาริมทรัพย์ และประกอบธุรกิจอพาร์ทเม้นท์,69 ซอยกรุงธนบุรี 4 ถนนกรุงธนบุรี  แขวงบางลำภูล่าง เขตคลองสาน กรุงเทพมหานคร 10600,,
466,0103559010372,หจ.รุ่งนภา เดรสเมคกิ้ง,7/7/2559," 1,000,000 ",14120,ประกอบกิจการรับจ้างตัดเย็บ เสื้อผ้าสำเร็จรูป,77 ซอยจรัญสนิทวงศ์ 78  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,,
467,0105559101680,บจ.บูรภัทร คอนสตรัคชั่น จำกัด,1/7/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าสร้าง ตกแต่ง ต่อเติม,439 ซอยจรัญสนิทวงศ์ 67 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
468,0105559102422,บจ.จรัญ เอ็กซ์เพรส จำกัด,1/7/2559," 1,000,000 ",49323,ประกอบกิจการขนส่งสินค้า โดยรถยนต์ บริการรับจัดส่งทางไปรษณีย์ บริการรับเก็บเงินปลายทาง,149 ถนนจรัญสนิทวงศ์  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
469,0105559103801,บจ.พีเจ168 จำกัด,6/7/2559," 1,000,000 ",47612,ประกอบกิจการค้า กระดาษ เครื่องเขียน แบบเรียน,155 ซอยจรัญสนิทวงศ์ 96/1  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,,
470,0105559105871,บจ.ดับเบิลยู.เจ. ออดิทติ้ง จำกัด,8/7/2559," 1,000,000 ",69200,ประกอบกิจการเกี่ยวกับบัญชี การทำบัญชี และการตรวจสอบบัญชี การให้คำแนะนำด้านภาษี,38 ซอยจรัญสนิทวงศ์ 49/1  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
471,0105559108927,บจ.เอ็ม.เอ.ดี.เทคโนโลยี จำกัด,14/7/2559," 1,000,000 ",46599,ประกอบกิจการ จำหน่าย และให้เช่า อุปกรณ์อิเล็กทรอนิกส์ เช่น นาฬิกาอัจฉริยะ กำไลข้อมือบังคับทิศทาง,109 ซอยจรัญสนิทวงศ์ 80  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700,,
472,0105559109214,บจ.ส. สราญรมย์นวดแผนไทย จำกัด,14/7/2559," 1,000,000 ",56101,ประกอบกิจการจำหน่ายอาหารและเครื่องดื่ม,49 ซอยจรัญสนิทวงศ์ 40  แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,,
473,0105559109818,บจ.เจลลี่ บลิ้งค์ จำกัด,15/7/2559," 1,000,000 ",46443,การขายเครื่องสำอาง,435 ถนนจรัญสนิทวงศ์  แขวงบางบำหรุ เขตบางพลัด กรุงเทพมหานคร 10700,,
474,0105559111847,บจ.ทิวไผ่งาม เอ็ดดูเคชั่น เน็ทเวิร์ค จำกัด,22/7/2559," 1,000,000 ",82301,จัดสัมนาวิชาการและส่งเสริมเครือข่ายทางการศึกษา เป็นที่ปรึกษาและประสานงานกับสถาบัน,999 ซอยจรัญสนิทวงศ์ 46  แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700,,
475,0105559112479,บจ.เอสเค อินเตอร์เทรด แอนด์ คอนซัลติ้ง จำกัด,22/7/2559," 1,000,000 ",46443,ประกอบกิจการค้า เครื่องสำอาง อุปกรณ์เครื่องมือและเครื่องใช้เสริมความงาม,246 ซอยสิรินธร 2 ถนนสิรินธร  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
476,0105559113688,บจ.คลาสตอมไมซ์ เลิร์นนิ่ง จำกัด,26/7/2559," 1,000,000 ",85499,ประกอบกิจการ เป็นสื่อกลางระหว่างผู้เรียนและผู้สอนให้บริการการเรียนการสอนออนไลน์,2064 ซอยจรัญสนิทวงศ์ 75 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
477,0105559116270,บจ.เดอะ ไวท์ วอล์คเกอร์ จำกัด,29/7/2559," 1,000,000 ",46900,การขายส่งสินค้าทั่วไป,340 ซอยจรัญสนิทวงศ์ 68 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
478,0105559116369,บจ.เอ-ดรีม เจอร์นีย์ แอนด์ เอ็กซ์พลอ จำกัด,29/7/2559," 1,000,000 ",79909,ประกอบกิจการจำหน่ายตั๋วรถ เรือ ในประเทศ รับจองโรงแรมที่พักในต่างประเทศ,198 ชั้นที่ 1 ซอยจรัญสนิทวงศ์ 66/1 ถนนจรัญสนิทวงศ์  แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700,,
479,0103559010186,หจ.มายเลซี่แช,5/7/2559," 1,000,000 ",46594,ประกอบกิจการนำเข้าและจัดจำหน่ายโต๊ะคอมพิวเตอร์,95/394 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
480,0105559102236,บจ.ปาล-ไทย โอลีฟ ทรี จำกัด,1/7/2559," 1,000,000 ",10419,ผลิตนำเข้า และส่งออก เพื่อจำหน่ายสินค้าประเภทน้ำมันมะกอกและผลิตภัณฑ์อื่นๆที่เกี่ยวข้อง,954/32 อาคารพรานนกพลาซ่า ห้องเลขที่ 302 ถนนพรานนก  แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
481,0105559102732,บจ.ภัตตาคาร เจ้าพระยา จำกัด,4/7/2559," 1,000,000 ",56101,ขายปลีกอาหารและเครื่องดื่ม,12/19 ถนนอรุณอมรินทร์  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
482,0105559103992,บจ.เวสสุวรรณ(1949) จำกัด,6/7/2559," 1,000,000 ",82301,ประกอบกิจการฝึกอบรมพนักงานรักษาความปลอดภัย ออกใบอนุญาตให้พนักงานรักษาความปลอดภัย จัดตั้งสถานฝึกอบรม,71/31 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
483,0105559106860,บจ.อริยทรัพย์ บิวตี้ จำกัด,11/7/2559," 1,000,000 ",46319,จำหน่ายผลิตภัณฑ์อาหารเสริม ผลิตภัณฑ์เพื่อสุขภาพและความงาม,3/5 ซอยบรมราชชนนี 11 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
484,0105559108382,บจ.กริดเดอร์ จำกัด,13/7/2559," 1,000,000 ",46521,ประกอบกิจการจำหน่ายอุปกรณ์ไฟฟ้าทุกชนิด,585/1 ถนนอิสรภาพ  แขวงบ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
485,0105559110441,บจ.เกวินเน็น (ไทยแลนด์) จำกัด,15/7/2559," 1,000,000 ",46319,จำหน่ายผลิตภัณฑ์อาหารเสริม ผลิตภัณฑ์เพือสุขภาพและความงาม,3/5 ซอยบรมราชชนนี 11 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
486,0105559110476,บจ.เอ็นเจ. เบสท์ โพรดัก จำกัด,15/7/2559," 1,000,000 ",46493,ประกอบกิจการค้า เครื่องหนัง กระเป๋า และเครื่องอุปโภคอื่นๆ,113/29 ซอยบางขุนนนท์29 ถนนบางขุนนนท์  แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
487,0105559111537,บจ.ดีโพนุส จำกัด,21/7/2559," 1,000,000 ",68201,ประกอบกิจการธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับธุรกิจด้านสังหาและอสังหาริมทรัพย์,5/43 ถนนบรมราชชนนี  แขวงอรุณอมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
488,0105559115591,บจ.แกรนด์ เอเวอร์ (ไทยแลนด์) จำกัด,28/7/2559," 1,000,000 ",46319,ประกอบกิจการค้า ผลิตภัณฑ์อาหารเสริม อาหารควบคุมน้ำหนัก,543/231 ถนนจรัญสนิทวงศ์  แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700,,
489,0105559102023,บจ.คิดซ์ ลูซิด เลิร์นนิง สเปซ จำกัด,1/7/2559," 1,000,000 ",94992,ประกอบกิจการให้บริการจัดกิจกรรมสำหรับเด็ก เพื่อส่งเสริมการเรียนรู้ในสถานที่และนอกสถานที่,1518/5 ถนนประชาราษฎร์ 1  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
490,0105559102457,บจ.มหาทรัพย์ เรียลเอสเตท จำกัด,4/7/2559," 1,000,000 ",68201,ขาย โอน จำนอง จำนำ แลกเปลี่ยน และจำหน่ายทรัพย์สินโดยประการอื่นโดยมิได้รับฝากเงินจากประชาชน,1363/388 ถนนประชาชื่น  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
491,0105559102864,บจ.789 ชนะทรัพย์ เซอร์วิส จำกัด,4/7/2559," 1,000,000 ",68104,ประกอบกิจการให้เช่าสังหาริมทรัพย์ ให้เช่ารถยนต์ทุกชนิด,90/59 ซอยวัดหลวง  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
492,0105559103071,บจ.นิตยสารเฉินฉี จำกัด,4/7/2559," 1,000,000 ",58132,ประกอบกิจการผลิต ขายปลีก ขายส่ง นิตยสารเกี่ยวกับการท่องเที่ยวภาษาไทยและภาษาจีน,385/460 ตรอกข้าวสาร  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
493,0105559103861,บจ.พีพี อินเตอร์ แล็บ จำกัด,6/7/2559," 1,000,000 ",20232,ประกอบกิจการผลิต ปรุงแต่ง ผสม และค้า เครื่องสำอาง อาหารเสริมและผลิตภัณฑ์บำรุงผิว ทุกชนิด,294/5 ถนนริมทางรถไฟสายใต้  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
494,0105559104191,บจ.เอ.จี.อี. กรุ๊ป จำกัด,6/7/2559," 1,000,000 ",70209,ทำการตลาดให้ลูกค้าไทยในต่างประเทศ ให้คำปรึกษาผู้ประกอบการเกี่ยวกับธุรกิจในต่างประเทศ,24 ซอยยิ้มประยูร  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
495,0105559104999,บจ.ศศิ เดเวอร์ลอป แอนด์ เซอร์วิส จำกัด,7/7/2559," 1,000,000 ",46593,ประกอบกิจการค้า นำเข้า ส่งออก เครื่องจักร เครื่องยนต์ ชิ้นส่วน อะไหล่ ที่ใช้ในโรงงานอุตสาหกรรม,294/101 ซอยวัดมัชฌันติการาม  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
496,0105559105626,บจ.วายเอสเรสซิเดนซ์ จำกัด,8/7/2559," 1,000,000 ",68104,ประกอบกิจการเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของตนเอง หรือเช่าจากผู้อื่น,7 ซอยฉันทมิตร  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
497,0105559108871,บจ.แอดแวนเทจ คอนซัลติ้ง จำกัด,14/7/2559," 1,000,000 ",70209,ประกอบกิจการให้คำปรึกษา ด้านการวางแผนการควบคุมการผลิต และการจัดทำมาตรฐาน ให้บริการสนับสนุนการผลิต,21/137 ซอยวัดหลวง  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
498,0105559111316,บจ.เอสเค 18 อินเตอร์เนชั่นแนล กรุ๊ป จำกัด,21/7/2559," 1,000,000 ",47723,ประกอบกิจการจำหน่าย เครื่องพ่น สเต็มเซลล์ เครื่องสำอางค์ที่มีส่วนผสมของสเต็มเซลล์ เซรั่ม,87 ซอยโชติวัฒน์ ถนนประชาชื่น  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
499,0105559111367,บจ.บีแอนด์เอ็น คอนสตรัคชั่น 2016 จำกัด,21/7/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,90/396 ซอยวัดหลวง  แขวงบางซื่อ เขตบางซื่อ กรุงเทพมหานคร 10800,,
500,0105559112363,บจ.ไบโอแมส 2 กระบี่ กรีน ปาร์ค จำกัด,22/7/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างและให้บริการงานออกแบบ งานโครงสร้าง งานสถาปัตยกรรม และงานวิศวกรรม,119 ซอยพงษ์เพชร  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
501,0105559117071,บจ.เซเลบริตี้ เอ็นเตอร์ไพรส์ จำกัด,29/7/2559," 1,000,000 ",79909,จองตั๋วเครื่องบิน จองโรงแรมที่พัก,301/599 อาคารเซ็นทริค ซีน รัชวิภา ถนนรัชดาภิเษก  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800,,
502,0103559010411,หจ.ลายพิมพ์ดี,8/7/2559," 1,000,000 ",18119,การพิมพ์และการบริการที่เกี่ยวเนื่องกับการพิมพ์,300/75 ซอยลาดพร้าว 35/1  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
503,0105559101663,บจ.แฮปปี้นาว จำกัด,1/7/2559," 1,000,000 ",45101,การขายส่งและการขายปลีก ยานยนต์ จักรยานและจักรยานยนต์,109/143 ซอยลาดพร้าว 18  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
504,0105559101779,บจ.เพร็พโซเชียล จำกัด,1/7/2559," 1,000,000 ",73101,ประกอบกิจการให้บริการโฆษณาบนเว็บไซต์,29 ซอยพหลโยธิน 24  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
505,0105559102392,บจ.อันล็อค พอสสิบิลิตี้ จำกัด,1/7/2559," 1,000,000 ",46900,ประกอบกิจการนำเข้าส่งออก สินค้าอุปโภคและบริโภค เช่นอาหารสำเร็จรูป,133/8 ซอยลาดพร้าว 1 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
506,0105559102571,บจ.ยู เอ็ม เอส คอร์ปอเรชั่น จำกัด,4/7/2559," 1,000,000 ",47413,จำหน่ายส่งอุปกรณ์เกี่ยวกับการสื่อสาร กล้องวงจรปิด คอมพิวเตอร์ เครื่องใช้ไฟฟ้า อุปกรณ์ต่อพ่วง,126/66 ซอยพหลโยธิน 32  แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900,,
507,0105559103461,บจ.เอ็ดดูเคทโซน จำกัด,5/7/2559," 1,000,000 ",85500,ประกอบกิจการเป็นตัวแทนแนะแนวการศึกษา,647/249 ถนนลาดพร้าว  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
508,0105559104131,บจ.ฤทธิ์ดี ครีเอทีฟ ดีไซน์ จำกัด,6/7/2559," 1,000,000 ",74101,รับออกแบบตกแต่งอาคารคูหา พื้นที่เพื่อจัดการแสดงนิทรรศการประชุมสัมมนากิจกรรมพิเศษ,1111/82 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
509,0105559104255,บจ.เมอร์ไซ โกลเบิล จำกัด,6/7/2559," 1,000,000 ",46102,ประกอบกิจการซื้อ ขาย อาหารเสริม ยา เครื่องสำอาง โดยนำเข้าและส่งออกไปยังต่างประเทศ,15/18 ชั้นที่ 2 ซอยเสือใหญ่อุทิศ ถนนรัชดาภิเษก  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
510,0105559105405,บจ.ปรีชากูล คอนสตรัคชั่น จำกัด,8/7/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน ฯลฯ,44 ซอยลาดพร้าว 30  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
511,0105559105570,บจ.กู๊ดสเปซ แบงค็อก 2016 จำกัด,8/7/2559," 1,000,000 ",68104,ให้เช่าพื้นที่สำนักงาน ทุกประเภท,1032/136-138 ถนนพหลโยธิน  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
512,0105559105995,บจ.เวิร์ค ไร้ท์ เวย์ จำกัด,8/7/2559," 1,000,000 ",47521,ประกอบกิจการค้า อุปกรณ์เครื่องมือช่าง และอุปกรณ์เครื่องใช้สำนักงาน,3/66 ซอยโชคชัยร่วมมิตร ถนนวิภาวดี-รังสิต  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
513,0105559106355,บจ.เทคทูบอท จำกัด,8/7/2559," 1,000,000 ",28299,ประกอบกิจการผลิตและขายหุ่นยนต์  รวมทั้งธุรกิจที่เกี่ยวข้องกับหุ่นยนต์ทุกชนิด,111/6 อาคารรัชดาพาวิลเลี่ยน ชั้นที่ 6 ซอยลาดพร้าว 23  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
514,0105559106711,บจ.เจ.เอ.บี. พรอมท์ จำกัด,11/7/2559," 1,000,000 ",82302,จัดกิจกรรมสัมนา งานแถลงข่าว งานแสดงสินค้า การออกแบบและตกแต่งสถานที่เพื่อจัดงานแสดง,69 ซอยพหลโยธิน 33 ถนนพหลโยธิน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
515,0105559106916,บจ.ซันไรส์ ออดิท จำกัด,11/7/2559," 1,000,000 ",69200,กิจกรรมเกี่ยวกับบัญชี การทำบัญชีและการตรวจสอบบัญชี การให้คำปรึกษาด้านภาษี,330 หมู่บ้านชลนิเวศน์ ถนนประชาชื่น  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
516,0105559107297,บจ.เดอะ ไฟว์ กรุ๊ปส์ จำกัด,12/7/2559," 1,000,000 ",56101,จำหน่ายอาหารและเครื่องดื่ม,99/2 ซอยพหลโยธิน 38 ถนนพหลโยธิน  แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900,,
517,0105559107491,บจ.ทีพีพี เอสเตท จำกัด,12/7/2559," 1,000,000 ",68102,ประกอบกิจการ ซื้อและขายที่ดิน จัดสรรที่ดิน ทำการค้าอสังหาริมทรัพย์ เพื่อจำหน่าย,64 ซอยโชคชัยร่วมมิตร (วิภาวดี 16)  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
518,0105559109435,บจ.เอ็นเจเอ็นเตอร์เทนเมนท์ จำกัด,14/7/2559," 1,000,000 ",59111,ให้บริการจัดสร้างภาพยนตร์ สารคดี วีดีทัศน์ เพื่อความรู้และความบันเทิง,1895/136 ถนนพหลโยธิน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
519,0105559109753,บจ.ด็อกเตอร์ส เฮาส์ จำกัด,15/7/2559," 1,000,000 ",43223,ประกอบกิจการให้บริการบำรุงรักษา ซ่อม ติดตั้ง ไฟ น้ำแอร์ ทั้งระบบและจำหน่าย เครื่องปรับอากาศ,99/136 ซอยลาดพร้าว 18  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
520,0105559110115,บจ.สปอร์ตเดสก์ จำกัด,15/7/2559," 1,000,000 ",70209,การจัดการด้านการตลาด เช่น การกำหนดนโยบายและเป้าหมายการตลาด,14/8 ซอยลาดพร้าว 18  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,,
521,0105559110131,บจ.เบิร์ดธนา จำกัด,15/7/2559," 1,000,000 ",77299,ประกอบธุรกิจบริการเวดดิ้ง (Wedding)ให้เช่าชุดแต่งงาน ชุดราตรี ให้บริการแต่งหน้า,9/4 ซอยพหลโยธิน 47  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
522,0105559110514,บจ.มีศรีสุข จำกัด,15/7/2559," 1,000,000 ",87301,บริการจัดที่พักอาศัยและการดูแลรักษาสำหรับผู้สูงอายุ,234 ซอยเสือใหญ่อุทิศ ถนนรัชดาภิเษก  แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900,,
523,0105559110590,บจ.สหภัทร คอนแทรพชั่น จำกัด,15/7/2559," 1,000,000 ",45301,การขายส่งชิ้นส่วนและอุปกรณ์เสริมใหม่ของยานยนต์,4/72 ซอยวัดเทวสุนทร ถนนงามวงศ์วาน  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
524,0105559110981,บจ.เฮลท์เช็ค จำกัด,21/7/2559," 1,000,000 ",86909,ให้บริการเป็นผู้ประสานงานให้บริการตรวจสุขภาพทางออนไลน์ พัฒนาการให้บริการโดยใช้เทคโนโลยีในการสื่อสาร,86 ถนนเทศบาลสงเคราะห์  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
525,0105559111022,บจ.สิริรัชวิภา จำกัด,21/7/2559," 1,000,000 ",96101,ประกอบกิจการเกี่ยวกับการบริการ(นวดแผนไทย),250/818 ถนนรัชดาภิเษก  แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900,,
