นิติบุคคลจัดตั้งเดือนมีนาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
"1,648",0105559042802,บจ.ซิเมติค (ประเทศไทย) จำกัด,11/3/2559," 1,000,000 ",58202,รับทำซอฟต์แวร์ ฮาร์ดแวร์ พร้อมให้คำปรึกษา ด้านบริการอีเพย์เม้นท์ ซีเคียวริตี้ ซิสเต็ม,1510 ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,649",0105559042861,บจ.ยูเนี่ยน อินฟาร์เทค เพาเวอร์ คอนสตรัคชั่น จำกัด,11/3/2559," 1,000,000 ",42202,ก่อสร้างโรงไฟฟ้า,184/149-150 อาคารฟอรั่ม ชั้นที่ 24 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,650",0105559043116,บจ.แซ่บ247 จำกัด,11/3/2559," 1,000,000 ",58202,ประกอบกิจการพัฒนา และทำการตลาดเกี่ยวกับสินค้าซอฟต์แวร์,65/56 อาคารชำนาญ เพ็ญชาติ บิสเนส เซ็นเตอร์ ชั้นที่ 5 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,651",0105559043141,บจ.บ้านเรือนแก้ว จำกัด,11/3/2559," 1,000,000 ",87301,รับดูแลผู้สูงอายุ ผู้ป่วยพักฝื้น ทั่วราชอาณาจักร,255/1 ซอยรามคำแหง 21 (นวศรี)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,652",0105559043175,บจ.อุลตร้า ไทเกอร์ จำกัด,11/3/2559," 1,000,000 ",73101,ประกอบกิจการผลิต รายการหรืองาน ทางสื่อโทรทัศน์ วิทยุ เคเบิ้ลทีวี และสื่ออื่นๆ ทุกชนิด,23/6-7 ชั้นที่ 2-4 ซอยศูนย์วิจัย ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,653",0105559043272,บจ.วินด์ เทอร์ไบน์ เซาเทิร์น พาวเวอร์ จำกัด,11/3/2559," 1,000,000 ",96309,การจดทะเบียนใดๆต่อกิจการของบริษัท,65/73 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,654",0105559043426,บจ.อินนูวัค จำกัด,11/3/2559," 1,000,000 ",21001,วิจัย พัฒนา ผลิตและจำหน่าย วัคซีน ยา ยารักษาโรค เภสัชภัณฑ์และเวชภัณฑ์ที่ใช้รักษาโรคในคน,6 ซอยลาดพร้าว47(สะพาน2)  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,655",0105559043451,บจ.เอส อาร์ 9 บิสซิเนส จำกัด,11/3/2559," 1,000,000 ",46599,ประกอบกิจการขายส่งอุปกรณ์งานอุสาหกรรม,367/1 ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,656",0105559044104,บจ.รูม มี (ประเทศไทย) จำกัด,14/3/2559," 1,000,000 ",79909,ประกอบกิจการเกี่ยวกับการจัดหาที่พัก,383 ชั้นที่ 2 ห้องเลขที่ 205 ซอยศูนย์วิจัย 4 (พระราม 9 ซอย 13) ถนนพระราม 9  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,657",0105559044261,บจ.ไทย ยูนิฟอร์ม เซ็นเตอร์ จำกัด,14/3/2559," 1,000,000 ",14120,รับตัดเย็บเสื้อผ้า ชุดยูนิฟอร์ม,3/3 ซอยลาดพร้าว 64 แยก 4  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,658",0105559044406,บจ.เซลล์ ฟิวชั่น ซี จำกัด,14/3/2559," 1,000,000 ",46443,นำเข้า ซื้อมา ขายไป สินค้าประเภท เครื่องสำอาง ผลิตภัณฑ์ที่เกี่ยวข้องกับการบำรุงรักษาความงาม,2154/1 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,659",0105559044520,บจ.เคมโปร กรุ๊ป จำกัด,15/3/2559," 1,000,000 ",46691,ขายผลิตภัณฑ์เคมี และยางสังเคราะห์,431/43 ถนนประชาราษฎร์บำเพ็ญ  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,660",0105559044660,บจ.นางพญา เอนเตอร์เทนเม้นท์ จำกัด,15/3/2559," 1,000,000 ",59112,ให้บริการด้านโปรดักชั่น ผลิตสื่อมัลลติมีเดียทุกรูปแบบ อาทิ รายการโทรทัศน์ โฆษณา ละคร,1205/21 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,661",0105559044767,บจ.นอร์ทสตาร์ ยูนิตี้ กรุ๊ป จำกัด,15/3/2559," 1,000,000 ",85499,ประกอบรับเป็นที่ปรึกษาและให้คำแนะนำเกี่ยวกับบุคคลไปศึกษาต่อต่างประเทศ ดำเนินการด้านเอกสาร,368/53 ซอยลาดพร้าว 87  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,662",0105559044848,บจ.พาสเทลโล่ เทค จำกัด,15/3/2559," 1,000,000 ",46510,จำหน่าย Software เพื่อการศึกษา ตั้งแต่ชั้น ประถม ถึง มหาวิทยาลัย,300/10 ซอยลาดพร้าว84 (สังคมสงเคราะห์ใต้1)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,663",0105559045216,บจ.ดับเบิลยูพีเอส 2 จำกัด,16/3/2559," 1,000,000 ",71102,ที่ปรึกษาพัฒนาโครงการด้านพลังงาน ผลิต ขาย พลังงานไฟฟ้า,2521/39 หมู่บ้านบิสทาวน์ (ลาดพร้าว) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,664",0105559045224,บจ.ดับเบิลยูพีเอส 1 จำกัด,16/3/2559," 1,000,000 ",71102,ให้คำแนะนำ เป็นที่ปรึกษาพัฒนาโครงการด้านพลังงาน,2521/39 บิสทาวน์ (ลาดพร้าว) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,665",0105559045267,บจ.ดับเบิลยูพี โซลาร์ 2 จำกัด,16/3/2559," 1,000,000 ",35101,ผลิต ขาย พลังงานไฟฟ้า,2521/39 หมู่บ้านบิสทาวน์ (ลาดพร้าว) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,666",0105559045607,บจ.แฮปปี้ เอท จำกัด,16/3/2559," 1,000,000 ",59111,รับจ้างจัดแสดงและกำกับภาพยนตร์ ภาพยนตร์โฆษณา การถ่ายภาพนิ่ง รับจ้างถ่ายทำวีดีโอเทป รับจ้าง ล้างฟิล์ม,55/55 ซอยลาดพร้าว 88 (อรพิน)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,667",0105559045615,บจ.พี.เอ็ม.บี.ไอเดีย จำกัด,16/3/2559," 1,000,000 ",59112,กิจกรรมการผลิตรายการโทรทัศน์,739/22 ซอยพิบูลย์อุปถัมภ์  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,668",0105559045801,บจ.โอโซร่า ซัพพลาย จำกัด,16/3/2559," 1,000,000 ",46421,จำหน่ายเครื่องใช้ไฟฟ้าทุกชนิด,1510 ถนนลาดพร้าว  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,669",0105559045917,บจ.ชีวาพิศุทธ์ จำกัด,17/3/2559," 1,000,000 ",20231,ผลิตและจำหน่าย เครื่องสำอางสบู่ ผลิตภัณฑ์อาหารเสริมเพื่อสุขภาพ ผลิตภัณฑ์อาหารเสริมสมุนไพร,240/17 อาคารอโยธยาทาวเวอร์ ชั้นที่ 14 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,670",0105559046042,บจ.อีซ เอทติเอท จำกัด,17/3/2559," 1,000,000 ",96303,กิจกรรมการบริการด้วย เครื่องหยอดเหรียญ,225/3 ซอยรามคำแหง 21 (นวศรี) ถนนรามคำแหง  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,671",0105559046212,บจ.แกรนด์ เอสเตท กรุ๊ป แมเนจเม้นท์ จำกัด,17/3/2559," 1,000,000 ",68201,ประกอบกิจการบริการรับบริหารงานด้านนิติบุคคลอาคารชุด หมู่บ้าน โครงการด้านอสังหาริมทรัพย์,282/94 ซอยลาดพร้าว 87 (จันทราสุข) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,672",0105559046671,บจ.พล็อตพิวลา จำกัด,18/3/2559," 1,000,000 ",18119,บริการผลิตสื่อสิ่งพิมพ์ เอกสารทุกชนิด ทุกประเภท,98/299 หมู่บ้านบ้านกลางเมือง ซอยรามคำแหง 39 (เทพลีลา1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,673",0105559046719,บจ.อัพโซลูชั่น (ประเทศไทย) จำกัด,18/3/2559," 1,000,000 ",47411,ประกอบกิจการ นำเข้า จำหน่าย อุปกรณ์คอมพิวเตอร์ทั้งฮาร์ดแวร์และซอฟต์แวร์รวมทั้งอุปกรณ์สำนักงานทุกชนิด,2354/8 อาคารออมนิ บิสซิเนส มอลล์ ห้องเลขที่ B6 ซอยลาดพร้าว 116 ถนนลาดพร้าว  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,674",0105559046883,บจ.กบ เก๋ ครีเอชั่น จำกัด,18/3/2559," 1,000,000 ",60102,ประกอบกิจการ วิทยุออนไลน์ ทีวีออนไลน์ รับสอนการแสดง รับจัดงานอีเว้นท์และจัดกิจกรรมนอกสถานที่,209 ซอยรามคำแหง 21 (นวศรี) ถนนรามคำแหง  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,675",0105559046930,บจ.เจ.บี.ซี.ที จำกัด,18/3/2559," 1,000,000 ",46599,ประกอบกิจการค้า อุปกรณ์ขนถ่ายวัสดุและอุปกรณ์ตรวจนับทรัพย์สิน,799/18 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,676",0105559046948,บจ.โจโลดา เทรดดิ้ง จำกัด,18/3/2559," 1,000,000 ",46599,ประกอบกิจการค้าอุปกรณ์ขนถ่ายสินค้าขึ้น-ลงรถจำพวกรถบรรทุก รถพ่วง ทั้งในประเทศและต่างประเทศ,799/18 ซอยลาดพร้าว 80 (จันทิมา)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,677",0105559047006,บจ.อาร์ท-จี จำกัด,18/3/2559," 1,000,000 ",46103,นำเข้า ส่งออกและจัดจำหน่ายโคมไฟระย้าคริสตัล,3 ซอยลาดพร้าว 52 (นิเวศน์ 2)  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,678",0105559047219,บจ.24พริ้นติ้ง มีเดีย จำกัด,18/3/2559," 1,000,000 ",73101,จัดจำหน่าย ออกแบบ ผลิตภัณฑ์ประเภทสื่อสิ่งพิมพ์ทุกชนิด รวมถึงอุปกรณ์ด้านสิ่งพิมพ์ทุกประเภท,328/41 ซอยลาดพร้าว 87(จันทราสุข)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,679",0105559047383,บจ.เจ็นดีไซน์กรุ๊ป จำกัด,18/3/2559," 1,000,000 ",43301,ประกอบกิจการให้บริการตกแต่งภายใน ต่อเติมภายใน ต่อเติมภายนอก,362/1 ซอยลาดพร้าว 93 (โชคชัย3)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,680",0105559047391,บจ.บ้านดีพร้อม จำกัด,18/3/2559," 1,000,000 ",41001,ประกอบกิจการรับเหมาก่อสร้าง บ้าน อาคารพาณิชย์ อาคารสำนักงานและงานต่อเติมทุกประเภท,432/57 ซอยลาดพร้าว 64 แยก 4  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,681",0105559047952,บจ.บุญเสริมส่ง เทรดดิ้ง จำกัด,21/3/2559," 1,000,000 ",46599,ค้า สินค้าเกี่ยวกับความปลอดภัย,114/215 ซอยรามคำแหง 43/1 (คุณหญิงเจือ)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,682",0105559048151,บจ.อินน์ พลัส ดีเวลลอปเม้นท์ จำกัด,21/3/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง อาคาร อาคารพาริชย์ อาคารที่พักอาสัยและงานก่อสร้างอื่นๆ,1348 ถนนสุทธิสารวินิจฉัย  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,683",0105559048312,บจ.บริลเลียนท์ พี แอนด์ ที จำกัด,21/3/2559," 1,000,000 ",93299,บริการรับจัดความบันเทิงและนันทนาการ,128/242 อาคารดี 4 ชั้น 8 ซอยรามคำแหง 43/1  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,684",0105559048371,บจ.ดับเบิลยูพีเอส 3 จำกัด,21/3/2559," 1,000,000 ",35101,ให้คำแนะนำ เป็นที่ปรึกษาพัฒนาโครงการด้านพลังงาน ผลิตและขายพลังงานไฟฟ้า,2521/39 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,685",0105559048436,บจ.ดับเบิลยูพี โซลาร์ 3 จำกัด,21/3/2559," 1,000,000 ",35101,ผลิตและขายพลังงานไฟฟ้า,2521/39 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,686",0105559048444,บจ.ซีอาร์ซี2016 จำกัด,21/3/2559," 1,000,000 ",82301,รับอบรม จัดสัมนาให้กับบุคคล นิติบุคคลและคณะบุคคลอื่น รวมทั้งธุรกิจที่เกี่ยวข้องกับการจัด,487 อาคารสมาคมวิศวกรรมสถานแห่งประเทศไทย ในพระบรมราชูปถัมภ์ ชั้นที่ 3 ซอยรามคำแหง 39 (เทพลีลา 1) ถนนรามคำแหง  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,687",0105559048487,บจ.ไอเดีย โฮม กรุ๊ป จำกัด,21/3/2559," 1,000,000 ",73101,ประกอบกิจการ โฆษณา ป้าย ผลิตอุปกรณ์ งานป้ายทุกชนิด และอุปกรณ์ที่เกี่ยวข้อง รับงานอีเว้นท์,82 ซอยลาดพร้าว 94 (ปัญจมิตร)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,688",0105559048509,บจ.ไออาร์ทูเอ็ม จำกัด,21/3/2559," 1,000,000 ",72109,ประกอบกิจการ วิจัย พัฒนา เครื่องมือและอุปกรณ์วิทยาศาสตร์ การกีฬา เทคโนโลยีการแพทย์และวิศวกรรม,302/33 หมู่บ้านสวนซื่อตรง ซอยลาดพร้าว 71  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,689",0105559049017,บจ.แซมพร็อพเพอร์ตี เดเวล็อปเมนต์ จำกัด,22/3/2559," 1,000,000 ",68201,ประกอบกิจการเป็นนายหน้าและตัวแทนพัฒนาอสังหาริมทรัพย์และอื่นๆ,98/79 ซอยพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,690",0105559049033,บจ.บี อีเลฟเว่น จำกัด,22/3/2559," 1,000,000 ",73101,ประกอบกิจการรับจ้างโฆษณาด้วยวิธีการทุกชนิด,135/23 ซอยศูนย์วิจัย 14  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,691",0105559049548,บจ.วอร์มเวลเนส จำกัด,22/3/2559," 1,000,000 ",46441,จำหน่าย เครื่องมือ อุปกรณ์ ทางการแพทย์,216 ซอยลาดพร้าว 63  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,692",0105559049653,บจ.ศิลปวัฒนธรรมไทย-จีน จำกัด,23/3/2559," 1,000,000 ",68102,กิจการอสังหาริมทรัพย์,49/26 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,693",0105559049815,บจ.บีฮีมอธ แคปปิตอล จำกัด,23/3/2559," 1,000,000 ",78200,ประกอบกิจการรับจ้าง ทั่วไป,573/127 ซอยรามคำแหง 39 (เทพลีลา 1)  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,694",0105559050007,บจ.ธันวสรา จำกัด,23/3/2559," 1,000,000 ",56101,ประกอบกิจการจำหน่าย ขนมหวาน เบเกอรี่ อาหารและเครื่องดื่ม,83 ซอยศูนย์วิจัย 14 ถนนเพชรบุรีตัดใหม่  แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,695",0105559050023,บจ.เอชอาร์เอฟ เทรดดิ้ง จำกัด,23/3/2559," 1,000,000 ",08999,ประกอบกิจการเหมืองแร่ โรงงงานถลุงแร่,278 ซอยลาดพร้าว 93 (โชคชัย 3)  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,696",0105559050287,บจ.เวนเด ออมเนีย จำกัด,23/3/2559," 1,000,000 ",47413,ประกอบกิจการค้าปลีก อุปกรณ์การสื่อสารโทรคมนาคม,558 ซอยลาดพร้าว 47 (สะพาน 2)  แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,697",0105559050864,บจ.บิ๊ก คอยส์ จำกัด,24/3/2559," 1,000,000 ",66123,ทำธุรกรรมทางการเงิน รับซื้อขาย แลกเปลี่ยนเงินตราต่างประเทศ รับซื้อ ขาย ตั๋วเงิน,274/3 ซอยรุ่งเรือง ถนนสุทธิสารวินิจฉัย  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,698",0105559051267,บจ.แมสค์ คิ้วท์ จำกัด,24/3/2559," 1,000,000 ",14120,ประกอบกิจการตัดเย็บเสื้อ ผ้า เครื่้องแต่กาย เครื่องแต่งกาย,864/1 ซอยวิสุทธินิเวศน์  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,699",0105559051577,บจ.ซีเอสเอ็มอี ไอที จำกัด,25/3/2559," 1,000,000 ",58202,ประกอบกิจการพัฒนาและจำหน่ายซอฟท์แวร์,184/187 อาคารฟอรัม ทาวเวอร์ ชั้นที่ 28 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,700",0105559051984,บจ.ฑูรย์มณี กรุ๊ป จำกัด,25/3/2559," 1,000,000 ",46109,ตัวแทนจำหน่ายสินค้าทุกชนิดที่ไม่ได้กระทำในร้านค้าแผงลอยหรือตลาด,661/89 ซอยลาดพร้าว 80 แยก 22  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,701",0105559052085,บจ.สมาร์ท เอร่า จำกัด,25/3/2559," 1,000,000 ",46639,ขายกุญแแจ ลูกบิด มือจับ และส่วนประกอบกุญแจ,203 ซอยรามคำแหง43/1 (คุณหญิงเจือ) ถนนรามคำแหง  แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,702",0105559052417,บจ.โซลาร์ ชายน์ โฮลดิ้งส์ จำกัด,28/3/2559," 1,000,000 ",35101,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า ติดตั้งอุปกณร์ผลิตกระแสไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,703",0105559052794,บจ.จีเอ็กซ์(ประเทศไทย) จำกัด,28/3/2559," 1,000,000 ",47721,ประกอบกิจการนำเข้าเครื่องมือทางการแพทย์ทุกชนิด,290/107 ถนนเอกมัย-รามอินทรา  แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,704",0105559052964,บจ.ลักกี้ ลิ้งค์ จำกัด,29/3/2559," 1,000,000 ",41002,รับเหมาก่อสร้าง จำหน่ายวัสดุอุปกรณ์,282/73 ซอยลาดพร้าว 87 (จันทราสุข) ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,705",0105559053189,บจ.โซลาร์ ชายน์ ไฟว์ จำกัด,29/3/2559," 1,000,000 ",42202,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์ เครื่องผลิตไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,706",0105559053201,บจ.โซลาร์ ชายน์ โฟร์ จำกัด,29/3/2559," 1,000,000 ",42202,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า ติดตั้งอุปกรณ์เคริ่องผลิตกระแสไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,707",0105559053260,บจ.วอลลี่โกลบอล จำกัด,29/3/2559," 1,000,000 ",46319,จำหน่ายบำรุงร่างกาย อาหารบำรุงร่างกายและสุขภาพ และอาหารเสริม,72/1 ซอยอาภาศิริ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,708",0105559053278,บจ.โซลาร์ ชายน์ ทรี จำกัด,29/3/2559," 1,000,000 ",42202,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า ติดตั้งอุปกรณ์หรือเครื่องผลิตกระแสไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,709",0105559053324,บจ.โซลาร์ ชายน์ ทู จำกัด,29/3/2559," 1,000,000 ",42202,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์หรือเครื่องผลิตกระแสไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,710",0105559053341,บจ.โซลาร์ ชายน์ วัน จำกัด,29/3/2559," 1,000,000 ",42202,ก่อสร้างโรงงานผลิตกระแสไฟฟ้า และติดตั้งอุปกรณ์หรือเครื่องผลิตกระแสไฟฟ้า,3 ซอยลาดพร้าว 93 ถนนลาดพร้าว  แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพมหานคร 10310
"1,711",0105559053634,บจ.ลีโอไนน์ มาร์เก็ตส์ จำกัด,29/3/2559," 1,000,000 ",46510,ประกอบกิจการซื้อขาย สินค้า ไอทีทุกชนิด เช่น เมาส์ คอมพิวเตอร์ กล้อง โมเด็ม เร้าเตอร์ ซอฟต์แวร์,33/4 อาคารเดอะไนท์ ทาวเวอร์ อาคารเอ ชั้น35 ยูนิต ทีเอ็นเอ 01-04 ถนนพระราม9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,712",0105559054053,บจ.เบบี้ ลาเท็กซ์ จำกัด,30/3/2559," 1,000,000 ",46494,ประกอบกิจการส่งออก จำหน่าย ปลีก ส่ง ที่นอนยางพารา หมอนยางพารา ชุดเครื่องนอน,206/1 ซอยโรหิตสุข (รัชดาภิเษก 14) ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,713",0105559054274,บจ.บิวตี้ ยัง จำกัด,30/3/2559," 1,000,000 ",46103,ประกอบกิจการ เป็นตัวแทนนำเข้า-ส่งออก และจำหน่ายปลีก-ส่ง ผลิตภัณฑ์เสริมความงาม ครีมบำรุงผิว,61/143 ถนนพระราม 9  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,714",0105559055432,บจ.ดีสอีสธิต จำกัด,31/3/2559," 1,000,000 ",90002,จัดงานด้านการแสดง การบันเทิง,132 ซอยสุนทรศิริ ถนนประชาราษฎร์บำเพ็ญ  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"1,715",0105559037329,บจ.เฟิร์ส อัลฟา เวนเจอร์ จำกัด,3/3/2559," 1,000,000 ",35101,การผลิตและการส่งไฟฟ้า,87/2 อาคารซีอาร์ซี ออลซีซั่นส์เพลส ยูนิต 12 ชั้น 36 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,716",0105559037817,บจ.แซด คอมมูนิเคชั่นส์ จำกัด,3/3/2559," 1,000,000 ",73101,ให้บริการประชาสัมพันธ์ สื่อโฆษณา,888/23-24 ชั้นที่ 4 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,717",0105559037850,บจ.เอ็นเนอร์จอน (ประเทศไทย) จำกัด,3/3/2559," 1,000,000 ",84132,ธุรกิจด้านพลังงาน,87/2 อาคารซีอาร์ซีทาวเวอร์ ออลซีซั่นส์เพลส ชั้นที่ 9 ห้องเลขที่ 4-5 ถนนวิทยุ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,718",0105559039488,บจ.เอ็กซ์เปิร์ต วีซ่า แอนด์ เรียล เอสเตท จำกัด,7/3/2559," 1,000,000 ",74901,แปลเอกสาร รับยื่นขอวีซ่าทุกประเทศ ขายตั๋ว เครื่องบิน,888/12 ชั้นที่ 1 ถนนเพลินจิต  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,719",0105559041458,บจ.โอตัส จำกัด,9/3/2559," 1,000,000 ",63113,ประกอบธุรกิจให้บริการด้านการตลาดออนไลน์,891/1 อาคารสยามกลการ ชั้น12 ถนนพระราม1  แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330
"1,720",0105559041784,บจ.โก เดอะ ดิสแทนซ์ จำกัด,10/3/2559," 1,000,000 ",10799,ผลิต นำเข้า ส่งออก พัฒนา เป็นตัวแทนจำหน่ายอาหาร ผลิตภัณฑ์อาหาร อาหาหรเสริม เครื่องดื่ม,1/71 เดอะพาร์คชิดลม ถนนชิดลม  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
"1,721",0105559042268,บจ.พีเอ็มเอช 53 จำกัด,10/3/2559," 1,000,000 ",55101,ประกอบกิจการให้บริการที่พักอาศัย โรงแรม โฮทเทล เกสท์เฮ้าส์ และอื่นๆที่เกี่ยวข้อง,153/3 อาคารโกลเด้นท์แลนด์ ชั้นที่ 4 ห้องเลขที่ เอ4 ซอยมหาดเล็กหลวง1 ถนนราชดำริ  แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330
