นิติบุคคลจัดตั้งเดือนพฤษภาคม  2559,,,,,,,
ทั่วประเทศ,,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ","รหัส
วัตถุประสงค์",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
797,0105559075077,บจ.ยูเนียน คอนสตรัคชัน แอนด์ ดิเวลลอปเมนต์ จำกัด,17/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง ต่อเติม สำหรับอาคารทุกประเภท,137/188 ซอยวิภาวดีรังสิต 41  แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210
798,0105559075727,บจ.เอ็ดดู พาร์ท จำกัด,18/5/2559," 1,000,000 ",27909,ประกอบกิจการ ผลิต นำเข้า ส่งออก จำหน่ายสินค้าประเภทวัสดุอุปกรณ์เครื่องมือไฟฟ้า ชุดฝึก,56/18 หมู่บ้านเดอะคอนเนค 14 ซอยวัดเวฬุวนาราม 9 (เกตุวรชัย) ถนนสรงประภา  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
799,0105559076111,บจ.เอสจี เอ็นไว แอนด์ แอคทิเวชั่น กรุ๊ป จำกัด,18/5/2559," 1,000,000 ",74902,เป็นที่ปรึกษาในการควบคุมดูแลระบบป้องกันสิ่งแวดล้อม รวมทั้งการศึกษาวิจัยทางวิชาการ,89/228 ถนนวัชรพล  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
800,0105559076308,บจ.ไอยรา มยุรี จำกัด,18/5/2559," 1,000,000 ",96101,ประกอบธุรกิจสปา ซึ่งรวมถึงการให้บริการด้านนวดเพื่อสุขภาพ นวดเพื่อเสริมความงามนวดเพื่อบำบัด,200/185 ซอยแจ้งวัฒนะ 10 แยก 1-1 ถนนแจ้งวัฒนะ  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
801,0105559076430,บจ.บาย ฝน ฝน จำกัด,18/5/2559," 1,000,000 ",47723,ประกอบกิจการซื้อมาขายไปผลิตภัณฑ์เสริมความงาม,9/12 ซอยงามวงศ์วาน 47 แยก 6-11  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
802,0105559076472,บจ.ซีวีซี ลอว์ จำกัด,18/5/2559," 1,000,000 ",69100,การบริการด้านกฎหมาย ให้คำแนะนำด้านกฎหมาย,188/184 ซอยสรงประภา 30 ถนนสรงประภา  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
803,0105559076936,บจ.ฮอริซอน เอ็นจิเนีย จำกัด,19/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนนสะพาน,3/221 ซอยเทิดราชัน 43 ถนนเทิดราชัน  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
804,0105559077011,บจ.ผางาม อิเล็คทริค จำกัด,19/5/2559," 1,000,000 ",43210,รับจ้างเดินสายและติดตั้งอุปกรณ์ไฟฟ้าและระบบสื่อสารทุกชนิด รับวางระบบไฟฟ้าครบวงจร,1669/740 ซอยหมู่บ้านปิ่นเจริญ  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
805,0105559077223,บจ.ก้าวธนา คอนสตรัคชั่น จำกัด,19/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง จำหน่ายอุปกรณ์ก่อสร้างทุกชนิด,77/678 ถนนจตุโชติ  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
806,0105559077401,บจ.โปรมีเดีย คอร์ปอเรชั่น จำกัด,19/5/2559," 1,000,000 ",26303,ประกอบกิจการผลิต เกี่ยวระบบสื่อสารทุกชนิด,152/53 ซอยแจ้งวัฒนะ 14  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
807,0105559077444,บจ.ฟู้ด อีทีซี จำกัด,19/5/2559," 1,000,000 ",56101,ประกอบกิจการจัดจำหน่ายอาหาร เครื่องดื่ม เครื่องประกอบอาหาร อุปกรณ์ที่เกี่ยวกับการทำอาหาร,188/150 หมู่บ้านฮาบิทาวน์ วัชรพล ถนนวัชรพล  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
808,0105559077541,บจ.แอด คา ลี่ จำกัด,19/5/2559," 1,000,000 ",46443,จำหน่ายเครื่องสำอางบำรุงผิว น้ำหอม และกิจกรรมด้านสุขภาพ เสริมความงาม,9/111 ซอยวิภาวดีรังสิต 60 แยก 3-9  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
809,0105559077576,บจ.สิโย การโยธา จำกัด,19/5/2559," 1,000,000 ",41002,รับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย,111/139 ซอยสุขาภิบาล 5 ซอย 27  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
810,0105559077967,บจ.เอไอ เอ็นจิเนียริ่ง แอนด์ คอนซัลท์ จำกัด,23/5/2559," 1,000,000 ",47523,จำหน่ายอุปกรณ์ปูพื้นและผนัง,485/330 หมู่บ้านทิมเรืองเวช ซอยพหลโยธิน 52 แยก 27 ถนนพหลโยธิน  แขวงคลองถนน เขตสายไหม กรุงเทพมหานคร 10210
811,0105559078033,บจ.ทีอาร์ไอ เทรดดิ้ง กรุ๊ป จำกัด,23/5/2559," 1,000,000 ",46109,ประกอบกิจการเป็นตัวแทนนายหน้าในการจัดจำหน่ายสินค้าอุปโภคบริโภคทุกชนิดการขายส่งโดยได้รับค่าตอบแทน,19/36 หมู่บ้านนันทวัน รามอินทรา-วัชรพล หมู่ที่ 2  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
812,0105559078092,บจ.ซื่อตรง อินเตอร์ (ประเทศไทย) จำกัด,23/5/2559," 1,000,000 ",46102,นำเข้า ส่งออก ขายส่งน้ำตาลทราย น้ำตาลมะพร้าว น้ำตาลโตนด,62 ซอยสรงประภา 10 (สวนฝรั่ง) ถนนสรงประภา  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
813,0105559078157,บจ.นวลระย้า 2016 จำกัด,23/5/2559," 1,000,000 ",82301,ประกอบกิจการอบรมเพิ่มทักษะวิชาชีพ การชงกาแฟ และ เครื่องดื่ม,26 ซอยสรณคมน์ 20 ถนนสรณคมน์  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
814,0105559078327,บจ.เอสพีที คอนซัลแตนท์ จำกัด,23/5/2559," 1,000,000 ",71201,ประกอบกิจการศึกษา ค้นคว้า วิเคราะห์ ทำรายงานความเหมาะสมของโครงการพัฒนาการเกษตรและวิศวกรรม,349 ห้อง 301 ชั้น 3 ถนนช่างอากาศอุทิศ  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
815,0105559079137,บจ.ต้นโพธิ์แห่งชีวิต จำกัด,24/5/2559," 1,000,000 ",46319,ประกอบกิจการค้าอาหารเสริม เครื่องดื่ม เครื่องดื่มชูกำลัง ทุกชนิด ทุกประเภท,299/322 ถนนสุขาภิบาล 5 ซอย 63/2  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
816,0105559079269,บจ.4848 จ๊อบ เซอร์วิส จำกัด,24/5/2559," 1,000,000 ",70209,กิจการบริหารด้านอื่นๆ,113/67 ซอยกำแพงเพชร 6 ซอย 7 แยก 3-4 (ละออทิพย์)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
817,0105559079323,บจ.ล้านนา เฮิร์บ แลบบอราทอรี่ จำกัด,24/5/2559," 1,000,000 ",10769,ประกอบกิจการผลิตและจำหน่ายสมุนไพร อาหารเสริม บำรุงรักษา,47/344 ซอยงามวงศ์วาน 47 แยก 12 ถนนงามวงศ์วาน  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
818,0105559079374,บจ.พลานุภาพ วิศวกรรมประยุกต์ จำกัด,24/5/2559," 1,000,000 ",41002,ประกอบกิจการ รับเหมาก่อสร้างอาคาร,318/110 ซอยกำแพงเพชร 6 ซอย 7 แยก 7 (สายรอง)  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
819,0105559079692,บจ.พิภัทสรณ์ จำกัด,25/5/2559," 1,000,000 ",46109,ประกอบกิจการนำเข้าส่งออก ผลิต จำหน่าย สินค้าอุปโภคบริโฦคทุกชนิด ทุกประเภท,288/197 ถนนสุขาภิบาล 5  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
820,0105559080062,บจ.รัชตะ มาร์เก็ตติ้ง อินเตอร์ทอย จำกัด,25/5/2559," 1,000,000 ",46434,ประกอบกิจการจำหน่ายของเล่น อุปกรณ์เครื่องเขียน เครื่องใช้ในครัวเรือน,77/458 ถนนจตุโชติ  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
821,0105559080976,บจ.นาส์ (ไทยแลนด์) จำกัด,27/5/2559," 1,000,000 ",20232,ประกอบกิจการค้าผลิต นำเข้า ส่งออก ผลิตภัณฑ์เสริมความงามจากธรรมชาติ,102/268 ซอยสรงประภา 18 ถนนสรงประภา  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
822,0105559081085,บจ.เค เอส เอส เอคเพอร์ทีซคัท จำกัด,27/5/2559," 1,000,000 ",74109,รับออกแบบ จัดทำโปรแกรม ตัด ชิ้นงาน ทุกชนิด,52/3 หมู่ที่ 6 ถนนงามวงศ์วาน  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
823,0105559081166,บจ.ญาณิศา เอ็นจิเนียริ่ง เซ็นเตอร์ จำกัด,27/5/2559," 1,000,000 ",33200,ประกอบกิจการ ติดตั้ง ซ่อมแซมเครื่องจักรอุตสาหกรรมทุกชนิด,9/5 ซอยวิภาวดีรังสิต 35 ถนนวิภาวดีรังสิต  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
824,0105559081212,บจ.รีเฟลคชั่น อินเตอร์เทรด จำกัด,27/5/2559," 1,000,000 ",46422,ประกอบกิจการ ขายโคมไฟ อุปกรณ์เกี่ยวกับโคมไฟ,236 ถนนประชาอุทิศ  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
825,0105559081263,บจ.สอนทา คอนสตรัคชั่น จำกัด,27/5/2559," 1,000,000 ",41002,ประกอบกิจการรับเหมาก่อสร้าง,49/304 ซอยสุขาภิบาล 5 ซอย 45  แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10210
826,0105559081565,บจ.อินทรีทอง 911 จำกัด,30/5/2559," 1,000,000 ",46209,ประกอบกิจการซื้อขาย แปรรูป นำเข้า และส่งออกผลิตผลทางการเกษตร รวมทั้งไม้ดอกไม้ประดับ,65/85 ซอยวัดเวฬุวนาราม 12  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
827,0105559081913,บจ.เมอร์ซี่ เด็คกอร์ จำกัด,30/5/2559," 1,000,000 ",46412,ค้า พรม วอลล์เปเปอร์ ม่านม้วน ม่านปรับแสง มู่ลี่ไม้ มู่ลีอลูมิเนียม ผ้าม่าน ผ้าบุเฟอร์นิเจอร์,55/29 หมู่บ้านสนารา ซอยวิภาวดีรังสิต 27 ถนนกำแพงเพชร 6  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
828,0105559082138,บจ.ฮิล แอนด์ เดียร์ จำกัด,30/5/2559," 1,000,000 ",73101,ประกอบกิจการรับจ้างทำสื่อโฆษณา,34/43 ซอยวิภาวดีรังสิต 60 (บางบัว)  แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210
829,0105559082464,บจ.ชนม์สิตา แอนด์ ณปภัช กรุ๊ป จำกัด,31/5/2559," 1,000,000 ",70209,ประกอบกิจการรับเป็นที่ปรึกษา ฝึกอบรม รับจัดการธุรกิจ,36 ซอยเทิดราชัน 15 (ลุงไสว 1) ถนนเทิดราชัน  แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210
830,0105559082715,บจ.โพลาร์ แบร์ มิชชั่น จำกัด,31/5/2559," 1,000,000 ",63113,ประกอบกิจการเป็นช่องทางการจัดจำหน่าย ตลาดออนไลน์,163/141 ซอยประชาอุทิศ 11  แขวงดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210
831,0105559082791,บจ.เฟรนด์ คอร์เปอร์เรชั่น จำกัด,31/5/2559," 1,000,000 ",46443,จำหน่าย นำเข้า เครื่องสำอาง,244/353 ซอยวิภาวดีรังสิต 43  แขวงสนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210
832,0105559082839,บจ.รักษาความปลอดภัย เอชพีซี จำกัด,31/5/2559," 1,000,000 ",80100,ประกอบกิจการค้างานด้านให้บริการบุคคลากร,309/4 หมู่ที่ 6  แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210
833,0103559006693,หจ.ยูพีดี วัชรพล,2/5/2559," 1,000,000 ",71202,บริการสถานตรวจสภาพรถเอกชน,199 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
834,0103559007380,หจ.เมเปิลโซเซียตา,18/5/2559," 1,000,000 ",46201,ประกอบกิจการค้า นำเข้า ส่งออก ผลิตภัณฑ์แปรรูปการเกษตร ผลิตภัณฑ์ทางการเกษตร,68 ซอยรามอินทรา 19  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
835,0103559007932,หจ.ยูริพร ทรานสปอร์ต,27/5/2559," 1,000,000 ",49323,ประกอบกิจการขนส่ง ขนถ่าย สินค้า และคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศ ระหว่างประเทศ,99/210 ซอยสายไหม 49 (หมู่บ้านมนชญา 2)  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
836,0105559068976,บจ.เคทีพี พลัส จำกัด,2/5/2559," 1,000,000 ",10619,ประกอบกิจการผลิต จำหน่าย ตัวแทนจำหน่าย นำเข้าและส่งออก อาหารเสริม อาหารบำรุง ผลิตภัณฑ์เสริมอาหาร,111/26 หมู่บ้านณัชชาสิริ ซอยสายไหม 68 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
837,0105559069328,บจ.รวยสุข จำกัด,2/5/2559," 1,000,000 ",56101,ประกอบกิจการร้านอาหารเครื่องดื่ม,1/179 ซอยวัชรพล 2/7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
838,0105559070199,บจ.โฟโต้อินเด็กซ์ จำกัด,3/5/2559," 1,000,000 ",74200,ประกอบธุรกิจสตูดิโอ บริการถ่ายภาพนิ่ง ถ่ายภาพบุคคล ถ่ายภาพประกอบ ถ่ายภาพโฆษณาสินค้าถ่ายภาพพร้อมปริ้น,31/203 ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
839,0105559070296,บจ.ตฤนนิธี คอสเมติก (ไทยแลนด์) จำกัด,3/5/2559," 1,000,000 ",20232,ผลิตและจำหน่ายเครื่องสำอางและอุปกรณ์เกี่ยวกับการเสริมความงาม,1/97 หมู่บ้านเวนิส ดี ไอริส ซอยวัชรพล 2/7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
840,0105559070458,บจ.พีพีอาร์ เคาเซลเลอร์ จำกัด,4/5/2559," 1,000,000 ",94993,ประกอบกิจการให้บริการเกี่ยวกับการอนุรักษ์พลังงาน หรือการแก้ไขปัญหาสิ่งแวดล้อมการใช้และการผลิตพลังงาน,44/834 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
841,0105559070563,บจ.เอ็น.ที.เอส. คอร์ปอเรชั่น จำกัด,4/5/2559," 1,000,000 ",29302,ประกอบกิจการ ผลิตและจำหน่าย ให้เช่าเครื่องล้างแอร์รถยนต์ อุปกรณ์เครื่องมือ น้ำยาทำความสะอาด,19 อาคารพี.พี.เพลส. ห้อง 1/17 ชั้นที่ 1 ซอยรามอินทรา 14  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
842,0105559070679,บจ.เพาเวอร์ฟูล แฟมิลี่ จำกัด,4/5/2559," 1,000,000 ",70209,ประกอบกิจการด้านพัฒนาความรู้ และทักษะการใช้ชีวิต การพัฒนาครอบครัว,222/9 ถนนร่วมมิตรพัฒนา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
843,0105559070717,บจ.เกาะไลฟ์ (ไทยแลนด์) จำกัด,4/5/2559," 1,000,000 ",63113,ประกอบกิจการบริการเป็นตลาดกลางในการซื้อขาย การบริการ และการเดินทาง โดยใช้วิธีสื่ออิเล็กทรอนิกส์,86/87 ซอยรามอินทรา 13  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
844,0105559070725,บจ.อินทิเมท อาร์ต จำกัด,4/5/2559," 1,000,000 ",18119,ประกอบกิจการออกแบบ ผลิต สื่อสิ่งพิมพ์ สือวีดีทุกชนิด,299/112 หมู่บ้านกัสโต้ พหลโยธิน-สายไหม ถนนสายไหม  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
845,0105559070768,บจ.ทีทีเค 272516 เอ็นจิเนียริ่ง จำกัด,4/5/2559," 1,000,000 ",43210,ประกอบกิจการรับเหมาระบบประกอบอาคาร เช่น ระบบไฟฟ้าระบบประปา ระบบเครื่องปรับอากาศ,28/40 ซอยคู้บอน 27 แยก 37  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
846,0105559071454,บจ.ข้าวแกงติดล้อ จำกัด,10/5/2559," 1,000,000 ",68104,ประกอบกิจการให้เช่าอสังหาริมทรัพย์,8/72 หมู่ที่ 4 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
847,0105559071519,บจ.วีโมโตไทย จำกัด,10/5/2559," 1,000,000 ",45401,ประกอบธุรกิจนำเข้า ส่งออก จัดจำหน่ายมอเตอร์ไซค์และอะไหล่มอเตอร์ไซค์ทุกชนิด,111/473 ซอยร่วมมิตรพัฒนา แยก 7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
848,0105559071594,บจ.แอส-เค เซฟตี้ แอนด์ โปรดักส์ จำกัด,10/5/2559," 1,000,000 ",46599,ประกอบกิจการจัดหา ซื้อ ขาย วัสดุอุปกรณ์ที่เกี่ยวข้องกับอุปกรณดับเพลิง ด้านความปลอดภัย และงานก่อสร้าง,29/60 ซอยรามอินทรา 65 แยก 2-2-2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
849,0105559071608,บจ.ดิจิทัน จำกัด,10/5/2559," 1,000,000 ",70209,ประกอบกิจการที่ปรึกษาด้านการตลาด,222/9 ถนนร่วมมิตรพัฒนา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
850,0105559071951,บจ.พรีเมี่ยม เฮลธ์ แคร์ จำกัด,10/5/2559," 1,000,000 ",47731,ประกอบกิจการค้าแว่น เลนส์สายตา และอุปกรณ์,169 ซอยพหลโยธิน 53  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
851,0105559072230,บจ.เบสท์ อิน กราวด์ จำกัด,11/5/2559," 1,000,000 ",81210,ประกอบกิจการทำความสะอาดทุกประเภท,348 ซอยร่วมพัฒนา 33  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
852,0105559072281,บจ.เดอะเบส แมเนจเม้นท์ จำกัด,11/5/2559," 1,000,000 ",82301,ประกอบกิจการจัดฝึกอบรม สัมมนา ให้คำปรึกษาในการจัดศึกษาดูงานในประเทศและต่างประเทศ,126 ซอยพลโยธิน55  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
853,0105559072621,บจ.เคเอ็มวาย1995 คอนสตรัคชั่น แอนด์ ดีไซน์ จำกัด,11/5/2559," 1,000,000 ",41002,ประกอบกิจการเป็นผู้รับเหมาก่อสร้าง ออกแบบ ตกแต่งภายในและติดตั้ง งานก่อสร้างทุกชนิด,18/47 ซอย01 กาญจนาภิเษก 5/7  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
854,0105559073686,บจ.ทวี เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,13/5/2559," 1,000,000 ",41002,ประกอบรับเหมาก่อสร้าง,88/105 ซอยรามอินทรา 65 แยก 8  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
855,0105559074054,บจ.โฮมแพ็ค554 จำกัด,13/5/2559," 1,000,000 ",74109,บริการออกแบบ กล่อง บรรจุภัณฑ์ ผลิตภัณฑ์ ฉลากสินค้า ถุงพลาสติก ถุงกระดาษ และบรรจุภัณฑ์อื่นๆ,55/4 ซอยสุขาภิบาล 5 ซอย 5 แยก 10  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
856,0105559074313,บจ.ไพร์ม ทิมเบอร์ จำกัด,16/5/2559," 1,000,000 ",47591,ค้าเฟอร์นิเจอร์เครื่องเรือน,9/5 ซอยลาดปลาเค้า 89/1  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
857,0105559074356,บจ.เดอะ ริช 1689 จำกัด,16/5/2559," 1,000,000 ",56302,ประกอบกิจการร้านกาแฟ,77/41 หมู่บ้านคาซ่า วิลล์ รามอินทรา-วงแหวน ถนนกาญจนาภิเษก  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
858,0105559074500,บจ.มด ณรศาสตร์ จำกัด,16/5/2559," 1,000,000 ",82301,ประกอบกิจการจัดงานสัมมนา,121/53 ซอยรามอินทรา 65 แยก 2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
859,0105559074836,บจ.ดิอินฟินิท ลีดเดอร์ จำกัด,16/5/2559," 1,000,000 ",82301,ประกอบกิจการให้คำปรึกษาด้านการพัฒนาองค์กร พัฒนาบุคคลากร บริการจัดฝึกอบรม/สัมมนา,774 ซอยรามอินทรา 5 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
860,0105559074879,บจ.เอ็มพี อัลไลแอนซ์ จำกัด,16/5/2559," 1,000,000 ",62022,ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหา รวมทั้งออกแบบ และติดตั้งระบบสารสนเทศ,2/928 ซอยรามอินทรา 3  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
861,0105559074909,บจ.โช คอสเมติกส์ จำกัด,16/5/2559," 1,000,000 ",20232,การผลิตเครื่องหอม เครื่องสำอาง และผลิตภัณฑ์ในห้องน้ำ,260 ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
862,0105559075034,บจ.พิม เมโมรี่ จำกัด,17/5/2559," 1,000,000 ",18119,ประกอบกิจการด้านการพิมพ์,9/5 ซอยรามอินทรา 8 แยก 24  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
863,0105559075204,บจ.พรีม่าพลัส (ประเทศไทย) จำกัด,17/5/2559," 1,000,000 ",46441,การขายส่งสินค้าทางเภสัชภัณฑ์และทางการแพทย์,48/25 ซอยสุขาภิบาล 5 ซอย 27  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
864,0105559075344,บจ.หมิงคง สตีล จำกัด,17/5/2559," 1,000,000 ",46612,ประกอบกิจการค้า น้ำมันเชื้อเพลิง ถ่านหิน,573 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
865,0105559075425,บจ.เอ ทรู มิลค์ จำกัด,17/5/2559," 1,000,000 ",46314,"นำเข้าและส่งออก จำหน่ายนม ผลิตภัณฑ์จากนม (ชีส,เนยแข็ง,โยเกิร์ต)รวมทั้งเครื่องดื่มที่ทำจากนม",70/222 ซอยรามอินทรา 65 แยก 2-4  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
866,0105559075743,บจ.อาร์ เอ็ม คอนซัลติ้ง เซอร์วิส จำกัด,18/5/2559," 1,000,000 ",80100,ประกอบกิจการให้คำปรึกษาและบริการรักษาความปลอดภัย รวมบริการด้านความปลอดภัยทุกประเภท,99/303 ซอยพหลโยธิน 50 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
867,0105559075859,บจ.ไวส์เซอร์รี่ จำกัด,18/5/2559," 1,000,000 ",69100,ให้บริการจดทะเบียนพาณิชย์ต่าง ๆ เช่น จดเครื่องหมายการค้า,18/370 ซอยคู้บอน 27 แยก 35 ถนนรามอินทรา  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
868,0105559076201,บจ.อล่าโน่ จำกัด,18/5/2559," 1,000,000 ",46443,ค้าเครื่องสำอาง อุปกรณ์เครื่องมือเครืองใช้เสริมความงาม,19/135 ซอยวัชรพล 2  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
869,0105559076596,บจ.ดับบลิวอาร์ไอ ซัพพลาย จำกัด,19/5/2559," 1,000,000 ",25922,ประกอบกิจการรับจ้าง กลึง กัด ใส โลหะทุกชนิด,84 ซอยพหลโยธิน 48 แยก 3/2 ถนนพหลโยธิน  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
870,0105559077037,บจ.วินน์ เอสเทติก คอร์เปอเรชั่น กรุงเทพ จำกัด,19/5/2559," 1,000,000 ",86201,ประกอบกิจการเปิดคลินิคเวชกรรม,153 ซอยวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
871,0105559077215,บจ.เดอะสเต็ก จำกัด,19/5/2559," 1,000,000 ",10772,"รับผลิตซอส,เนยกระเทียม และผลิตเพื่อจำหน่ายปลีกส่งซอสสเต็กปรุงรส",1090 ซอยหมู่บ้านรามอินทรานิเวศน์  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
872,0105559077266,บจ.ทองกานนท์ จำกัด,19/5/2559," 1,000,000 ",46633,"จัดซื้อ,จัดหา และจำหน่ายผลิตภัณฑ์สีต่างๆ",166/64 ซอยคู้บอน 27 แยก 11  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
873,0105559077347,บจ.เทคนิคอลซิสเท็มเน็ตเวิร์คเทคโนโลยี จำกัด,19/5/2559," 1,000,000 ",43210,ซื้อ ขาย ติดตั้งอุปกรณ์ ระบบเดินสายใยแก้วนำแสง ด้วยสายสัญญาณเพื่อเชื่อมโยงระบบสื่อสาร,6/71 ซอยรามอินทรา 3  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
874,0105559077495,บจ.กนกลดา คอสเมติก จำกัด,19/5/2559," 1,000,000 ",10619,ผลิตจัดจำหน่ายผลิตภัณฑ์อาหารเสริม วิตามิน เพื่อสุขภาพผิว ผลิตภัณฑ์เพื่อความงาม,169/51 หมู่บ้านวิลล่ารามอินทรา ดิเอ็กซ์คลูซีฟโชน ซอยคู้บอน 27  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
875,0105559077754,บจ.บียอน อินเตอร์ซิตี้ จำกัด,19/5/2559," 1,000,000 ",46422,ประกอบกิจการ นำเข้า จัดจำหน่ายและติดตั้งอุปกรณ์ส่องสว่าง,123/235 ซอยสายไหม 29  แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220
